plate_name,well,value,conc,r2
PCE048,A01,960,1.69,0.984019295
PCE048,A02,888,1.67,0.986493293
PCE048,A03,1003,1.74,0.984019295
PCE048,A04,19199,31.9,0.986493293
PCE048,A05,1116,1.68,0.983065187
PCE048,A06,701,1.36,0.986493293
PCE048,A07,912,1.38,0.983065187
PCE048,A08,969,1.46,0.983065187
PCE048,A09,832,1.58,0.986493293
PCE048,A10,1071,0,0.979239783
PCE048,A11,964,1.8,0.986493293
PCE048,A12,1441,2.16,0.983065187
PCE048,B01,744,1.43,0.986493293
PCE048,B02,27164,37.93,0.979239783
PCE048,B03,1077,0,0.979239783
PCE048,B04,766,1.47,0.986493293
PCE048,B05,1497,2.24,0.983065187
PCE048,B06,1037,1.56,0.983065187
PCE048,B07,730,1.41,0.986493293
PCE048,B08,967,1.46,0.983065187
PCE048,B09,49043,72.67,0.983065187
PCE048,B10,968,0,0.979239783
PCE048,B11,891,1.68,0.986493293
PCE048,B12,1495,2.24,0.983065187
PCE048,C01,965,1.45,0.983065187
PCE048,C02,819,1.56,0.986493293
PCE048,C03,1522,0.31,0.979239783
PCE048,C04,832,1.26,0.983065187
PCE048,C05,778,1.18,0.983065187
PCE048,C06,2078,1.13,0.979239783
PCE048,C07,784,1.5,0.986493293
PCE048,C08,765,1.47,0.986493293
PCE048,C09,1002,0,0.979239783
PCE048,C10,15356,20.6,0.979239783
PCE048,C11,716,1.39,0.986493293
PCE048,C12,882,1.33,0.983065187
PCE048,D01,43917,65.08,0.983065187
PCE048,D02,2197,1.3,0.979239783
PCE048,D03,2497,1.74,0.979239783
PCE048,D04,7440,12.49,0.986493293
PCE048,D05,980,0,0.979239783
PCE048,D06,865,1.31,0.983065187
PCE048,D07,755,1.45,0.986493293
PCE048,D08,1096,0,0.979239783
PCE048,D09,8779,10.96,0.979239783
PCE048,D10,6067,9.01,0.983065187
PCE048,D11,822,1.56,0.986493293
PCE048,D12,979,1.71,0.984019295
PCE048,E01,787,1.5,0.986493293
PCE048,E02,992,1.49,0.983065187
PCE048,E03,3374,3.03,0.979239783
PCE048,E04,19484,32.37,0.986493293
PCE048,E05,796,1.2,0.983065187
PCE048,E06,2359,1.54,0.979239783
PCE048,E07,977,1.82,0.986493293
PCE048,E08,1571,0.38,0.979239783
PCE048,E09,3255,2.85,0.979239783
PCE048,E10,876,1.32,0.983065187
PCE048,E11,960,1.45,0.983065187
PCE048,E12,1022,0,0.979239783
PCE048,F01,780,1.18,0.983065187
PCE048,F03,845,1.28,0.983065187
PCE048,F04,761,1.15,0.983065187
PCE048,F05,1611,0.44,0.979239783
PCE048,F06,1496,2.24,0.983065187
PCE048,F07,770,1.17,0.983065187
PCE048,F08,45386,64.66,0.979239783
PCE048,F09,27208,40.33,0.983065187
PCE048,F10,7367,10.94,0.983065187
PCE048,F11,1268,2.3,0.986493293
PCE048,F12,941,1.67,0.984019295
PCE048,G01,855,1.62,0.986493293
PCE048,G01,789,1.51,0.986493293
PCE048,G02,703,1.37,0.986493293
PCE048,G03,2447,1.67,0.979239783
PCE048,G03,801,1.21,0.983065187
PCE048,G04,44350,63.14,0.979239783
PCE048,G05,942,0,0.979239783
PCE048,G06,1265,1.9,0.983065187
PCE048,G07,48108,79.61,0.986493293
PCE048,G08,947,1.67,0.984019295
PCE048,G09,13425,19.91,0.983065187
PCE048,G10,2388,1.58,0.979239783
PCE048,G12,760,1.46,0.986493293
PCE048,H01,1489,0.26,0.979239783
PCE048,H02,42005,69.54,0.986493293
PCE048,H03,33805,47.67,0.979239783
PCE048,H04,2042,1.07,0.979239783
PCE048,H05,826,1.25,0.983065187
PCE048,H06,52270,77.45,0.983065187
PCE048,H08,5826,7.87,0.984019295
PCE048,H09,1057,1.59,0.983065187
PCE048,H10,49489,70.68,0.979239783
PCE048,H11,51257,84.81,0.986493293
PCE048,H12,855,1.29,0.983065187
PCE049,C02,959,1.45,0.983065187
PCE049,D08,17159,23.25,0.979239783
PCE049,G09,28669,47.53,0.986493293
PCE049,G11,27076,40.13,0.983065187
PCE049,H03,24443,40.55,0.986493293
PCE049,H09,14153,18.84,0.979239783
PCE049,H12,37868,56.12,0.983065187
PCE048,F02,735,1.42,0.986493293
