plate	well	status	stock_conc	diluent_vol	final_vol	final_conc
PCE030	A1	conc below target	0.41	0	10.0	0.41
PCE030	B1	conc below target	0.73	0	10.0	0.73
PCE030	C1	conc below target	1.92	0	10.0	1.92
PCE030	D1	conc below target	0.44	0	10.0	0.44
PCE030	E1	conc below target	0.41	0	10.0	0.41
PCE030	F1	conc below target	0.8	0	10.0	0.8
PCE030	G1	conc below target	0.54	0	10.0	0.54
PCE030	H1	conc below target	0.47	0	10.0	0.47
PCE030	A2	conc below target	3.93	0	10.0	3.93
PCE030	B2	conc below target	4.37	0	10.0	4.37
PCE030	C2	conc below target	4.01	0	10.0	4.01
PCE030	D2	conc below target	4.53	0	10.0	4.53
PCE030	E2	conc below target	3.8	0	10.0	3.8
PCE030	F2	conc below target	3.77	0	10.0	3.77
PCE030	G2	conc below target	4.54	0	10.0	4.54
PCE030	H2	conc below target	3.72	0	10.0	3.72
PCE030	A3	conc below target	3.8	0	10.0	3.8
PCE030	B3	conc below target	3.83	0	10.0	3.83
PCE030	C3	conc below target	3.81	0	10.0	3.81
PCE030	D3	conc below target	3.75	0	10.0	3.75
PCE030	E3	conc below target	3.86	0	10.0	3.86
PCE030	F3	conc below target	3.88	0	10.0	3.88
PCE030	G3	conc below target	3.72	0	10.0	3.72
PCE030	H3	conc below target	4.37	0	10.0	4.37
PCE030	A4	conc below target	4.04	0	10.0	4.04
PCE030	B4	conc below target	3.76	0	10.0	3.76
PCE030	C4	conc below target	3.69	0	10.0	3.69
PCE030	D4	conc below target	3.81	0	10.0	3.81
PCE030	E4	conc below target	3.74	0	10.0	3.74
PCE030	F4	conc below target	3.75	0	10.0	3.75
PCE030	G4	conc below target	3.74	0	10.0	3.74
PCE030	H4	conc below target	3.84	0	10.0	3.84
PCE030	A5	conc below target	3.74	0	10.0	3.74
PCE030	B5	transfer too small	6.65	0	10.0	6.65
PCE030	C5	conc below target	3.73	0	10.0	3.73
PCE030	D5	conc below target	4.13	0	10.0	4.13
PCE030	E5	conc below target	3.77	0	10.0	3.77
PCE030	F5	conc below target	3.77	0	10.0	3.77
PCE030	G5	conc below target	3.93	0	10.0	3.93
