Sample ID,sample_name,well,conc_ng_ul,plate,conc,Final conc (ng/µl),rna_vol,h2o_vol,End_vol (µl),Final Conc.Total (ng),
P14_Repeat_A01,CGR0315,A01,170,RPA014,20,20,5.9,44.1,50,1000,
P14_Repeat_B01,CGR0006,B01,194.9,RPA014,20,20,5.1,44.9,50,1000,
P14_Repeat_C01,CFR0179,C01,46.4,RPA014,20,20,21.6,28.4,50,1000,
P14_Repeat_D01,CFR0340,D01,15.9,RPA014,20,8,25,25,50,397.5,
P14_Repeat_E01,CGR0346,E01,512.9,RPA014,20,20,1.9,48.1,50,1000,
P14_Repeat_F01,EB_14,F01,2.1,RPA014,20,1.1,25,25,50,52.5,
P14_Repeat_G01,CGR0068,G01,106.8,RPA014,20,20,9.4,40.6,50,1000,
P14_Repeat_H01,CFR0214,H01,60.7,RPA014,20,20,16.5,33.5,50,1000,
P14_Repeat_A02,CGR0118,A02,62,RPA014,20,20,16.1,33.9,50,1000,
P14_Repeat_B02,CGR0119,B02,59.1,RPA014,20,20,16.9,33.1,50,1000,
P14_Repeat_C02,CGR0067,C02,21,RPA014,20,10.5,25,25,50,525,
P14_Repeat_D02,CGR0011,D02,101,RPA014,20,20,9.9,40.1,50,1000,
P14_Repeat_E02,CAR0804,E02,63.1,RPA014,20,20,15.8,34.2,50,1000,
P14_Repeat_F02,CGR0289,F02,80.8,RPA014,20,20,12.4,37.6,50,1000,
P14_Repeat_G02,CFR0101,G02,88.8,RPA014,20,20,11.3,38.7,50,1000,
P14_Repeat_H02,CAR0552,H02,79.7,RPA014,20,20,12.5,37.5,50,1000,
P14_Repeat_A03,CAR0487,A03,100.6,RPA014,20,20,9.9,40.1,50,1000,
P14_Repeat_B03,CFR0417,B03,22.4,RPA014,20,11.2,25,25,50,560,
P14_Repeat_C03,CGR0108,C03,112.5,RPA014,20,20,8.9,41.1,50,1000,
P14_Repeat_D03,CGR0156,D03,296.7,RPA014,20,20,3.4,46.6,50,1000,
P14_Repeat_E03,CFR0150,E03,8.5,RPA014,20,4.3,25,25,50,212.5,
P14_Repeat_F03,CGR0004,F03,388.6,RPA014,20,20,2.6,47.4,50,1000,
P14_Repeat_G03,CFR0165,G03,75.1,RPA014,20,20,13.3,36.7,50,1000,
P14_Repeat_H03,CFR0462,H03,240.5,RPA014,20,20,4.2,45.8,50,1000,
P14_Repeat_A04,CGR0102,A04,66.4,RPA014,20,20,15.1,34.9,50,1000,
P14_Repeat_B04,CGR0200,B04,258.5,RPA014,20,20,3.9,46.1,50,1000,
P14_Repeat_C04,CAR0506,C04,4.5,RPA014,20,2.3,25,25,50,112.5,
P14_Repeat_D04,CAR0509,D04,17.3,RPA014,20,8.7,25,25,50,432.5,
P14_Repeat_E04,CAR0510,E04,19.5,RPA014,20,9.8,25,25,50,487.5,
P14_Repeat_F04,CFR0149,F04,28.1,RPA014,20,14.1,25,25,50,702.5,
P14_Repeat_G04,CGR0010,G04,99.5,RPA014,20,20,10.1,39.9,50,1000,
P14_Repeat_H04,CFR0485,H04,180.7,RPA014,20,20,5.5,44.5,50,1000,
P14_Repeat_A05,CFR0309,A05,38.1,RPA014,20,19.1,25,25,50,952.5,
P14_Repeat_B05,CFR0472,B05,68,RPA014,20,20,14.7,35.3,50,1000,
P14_Repeat_C05,CGR0029,C05,39.6,RPA014,20,19.8,25,25,50,990,
P14_Repeat_D05,DEPC_14,D05,48.4,RPA014,20,20,20.7,29.3,50,1000,
P14_Repeat_E05,CFR0230,E05,51,RPA014,20,20,19.6,30.4,50,1000,
P14_Repeat_F05,CGR0456,F05,295.6,RPA014,20,20,3.4,46.6,50,1000,
P14_Repeat_G05,CFR0051,G05,21,RPA014,20,10.5,25,25,50,525,
