Sample_ID,Well,Plate,Country,RNA_conc(ng/µl),Aim conc (ng/µl),Final conc (ng/µl),RNA (µl),H2O (µl),End_vol (µl),,Final Conc.Total (ng),,,
CGR0430,A01,RPA0001,GER,67.5,20.0,20.3,15.0,35.0,50.0,50.0,1012.5,,,
CFR0281,B01,RPA0001,FRA,102.5,20.0,20.5,10.0,40.0,50.0,50.0,1025.0,,,
CFR0124,C01,RPA0001,FRA,160.1,20.0,19.8,6.2,44.0,50.0,50.2,988.7,,,
CGR0409,D01,RPA0001,GER,120.9,20.0,20.2,8.4,42.0,50.0,50.4,1007.5,,,
CFR0105,E01,RPA0001,FRA,41.7,20.0,20.0,24.0,26.0,50.0,50.0,1000.0,,,
CFR0221,F01,RPA0001,FRA,30.3,20.0,15.2,25.0,25.0,50.0,50.0,757.5,,,
CFR0324,G01,RPA0001,FRA,16.4,20.0,8.2,25.0,25.0,50.0,50.0,410.0,,,
CGR0273,H01,RPA0001,GER,100.3,20.0,20.0,10.0,40.0,50.0,50.0,1000.0,,,
CGR0406,A02,RPA0001,GER,168.3,20.0,20.2,6.0,44.0,50.0,50.0,1009.8,,,
CFR0428,B02,RPA0001,FRA,185,20.0,19.8,5.4,45.0,50.0,50.4,991.1,,,
CAR0353,C02,RPA0001,USA,65.3,20.0,19.6,15.0,35.0,50.0,50.0,979.5,,,
CFR0413,D02,RPA0001,FRA,141.1,20.0,19.8,7.0,43.0,50.0,50.0,987.7,,,
CFR0369,E02,RPA0001,FRA,11.7,20.0,5.9,25.0,25.0,50.0,50.0,292.5,,,
CFR0323,F02,RPA0001,FRA,85.6,20.0,17.1,10.0,40.0,50.0,50.0,856.0,,,
CFR0321,G02,RPA0001,FRA,0.6,20.0,0.3,25.0,25.0,50.0,50.0,15.0,,,
CGR0239,H02,RPA0001,GER,69.5,20.0,20.9,15.0,35.0,50.0,50.0,1042.5,,,
CGR0412,A03,RPA0001,GER,131.6,20.0,21.1,8.0,42.0,50.0,50.0,1052.8,,,
CFR0296,B03,RPA0001,FRA,411.3,20.0,19.7,2.4,47.6,50.0,50.0,987.1,,,
CGR0160,C03,RPA0001,GER,226.8,20.0,20.0,4.4,45.6,50.0,50.0,997.9,,,
DEPC,D03,RPA0001,DEPC,0,20.0,0.0,25.0,25.0,50.0,50.0,0.0,,,
CFR0448,E03,RPA0001,FRA,17.5,20.0,8.8,25.0,25.0,50.0,50.0,437.5,,,
CFR0349,F03,RPA0001,FRA,15.3,20.0,7.7,25.0,25.0,50.0,50.0,382.5,,,
CFR0089,G03,RPA0001,FRA,0,20.0,0.0,25.0,25.0,50.0,50.0,0.0,,,
CGR0197,H03,RPA0001,GER,85.2,20.0,17.0,10.0,40.0,50.0,50.0,852.0,,,
CGR0140,A04,RPA0001,GER,90.9,20.0,18.2,10.0,40.0,50.0,50.0,909.0,,,
CAR0443,B04,RPA0001,USA,0,20.0,0.0,25.0,25.0,50.0,50.0,0.0,,,
CFR0022,C04,RPA0001,FRA,86.6,20.0,17.3,10.0,40.0,50.0,50.0,866.0,,,
CAR0381,D04,RPA0001,USA,0,20.0,0.0,25.0,25.0,50.0,50.0,0.0,,,
CFR0244,E04,RPA0001,FRA,5.5,20.0,2.8,25.0,25.0,50.0,50.0,137.5,,,
CGR0202,F04,RPA0001,GER,233,20.0,20.5,4.4,45.6,50.0,50.0,1025.2,,,
CGR0426,G04,RPA0001,GER,80,20.0,24.0,15.0,35.0,50.0,50.0,1200.0,,,
CFR0456,H04,RPA0001,FRA,162.6,20.0,19.5,6.0,44.0,50.0,50.0,975.6,,,
CAR0528,A05,RPA0001,USA,0,20.0,0.0,25.0,25.0,50.0,50.0,0.0,,,
CGR0287,B05,RPA0001,GER,167.1,20.0,20.0,6.0,44.0,50.0,50.0,1000.0,,,
CGR0266,C05,RPA0001,GER,0,20.0,0.0,25.0,25.0,50.0,50.0,0.0,,,
CAR0415,D05,RPA0001,USA,0,20.0,0.0,25.0,25.0,50.0,50.0,0.0,,,
CAR0379,E05,RPA0001,USA,32.9,20.0,16.5,25.0,25.0,50.0,50.0,822.5,,,
CAR0871,F05,RPA0001,USA,12.5,20.0,6.3,25.0,25.0,50.0,50.0,312.5,,,
CFR0205,G05,RPA0001,FRA,0,20.0,0.0,25.0,25.0,50.0,50.0,0.0,,,
CFR0013,H05,RPA0001,FRA,0,20.0,0.0,25.0,25.0,50.0,50.0,0.0,,,
CFR0208,A06,RPA0001,FRA,189.1,20.0,20.3,5.4,45.0,50.0,50.4,1013.0,,,
CFR0434,B06,RPA0001,FRA,0,20.0,0.0,25.0,25.0,50.0,50.0,0.0,,,
CFR0075,C06,RPA0001,FRA,0,20.0,0.0,25.0,25.0,50.0,50.0,0.0,,,
CGR0198,D06,RPA0001,GER,94,20.0,18.8,10.0,40.0,50.0,50.0,940.0,,,
CFR0066,E06,RPA0001,FRA,0,20.0,0.0,25.0,25.0,50.0,50.0,0.0,,,
EB,F06,RPA0001,EB,0,20.0,0.0,25.0,25.0,50.0,50.0,0.0,,,
CGR0295,G06,RPA0001,GER,185.9,20.0,19.9,5.4,45.0,50.0,50.4,995.9,,,
CAR0420,H06,RPA0001,USA,14.3,20.0,7.2,25.0,25.0,50.0,50.0,357.5,,,
CFR0146,A07,RPA0001,FRA,2.6,20.0,1.3,25.0,25.0,50.0,50.0,65.0,,,
CFR0487,B07,RPA0001,FRA,0,20.0,0.0,25.0,25.0,50.0,50.0,0.0,,,
CFR0182,C07,RPA0001,FRA,0,20.0,0.0,25.0,25.0,50.0,50.0,0.0,,,
CAR0369,D07,RPA0001,USA,208.6,20.0,20.9,5.0,45.0,50.0,50.0,1043.0,,,
CGR0469,E07,RPA0001,GER,415.5,20.0,16.6,2.0,48.0,50.0,50.0,831.0,,,
CGR0238,F07,RPA0001,GER,83.4,20.0,16.7,10.0,40.0,50.0,50.0,834.0,,,
CFR0173,G07,RPA0001,FRA,203,20.0,20.3,5.0,45.0,50.0,50.0,1015.0,,,
CGR0407,H07,RPA0001,GER,69.1,20.0,20.7,15.0,35.0,50.0,50.0,1036.5,,,
CFR0407,A08,RPA0001,FRA,136.4,20.0,20.0,7.4,43.0,50.0,50.4,1001.3,,,
CFR0275,B08,RPA0001,FRA,19.3,20.0,9.7,25.0,25.0,50.0,50.0,482.5,,,
CAR0495,C08,RPA0001,USA,134.7,20.0,19.8,7.4,43.0,50.0,50.4,988.9,,,
CFR0008,D08,RPA0001,FRA,22.6,20.0,11.3,25.0,25.0,50.0,50.0,565.0,,,
CFR0046,E08,RPA0001,FRA,83.9,20.0,16.8,10.0,40.0,50.0,50.0,839.0,,,
CGR0277,F08,RPA0001,GER,74,20.0,22.2,15.0,35.0,50.0,50.0,1110.0,,,
CFR0399,G08,RPA0001,FRA,271.6,20.0,21.7,4.0,46.0,50.0,50.0,1086.4,,,
CGR0405,H08,RPA0001,GER,246.7,20.0,19.7,4.0,46.0,50.0,50.0,986.8,,,
CGR0413,A09,RPA0001,GER,93.6,20.0,18.7,10.0,40.0,50.0,50.0,936.0,,,
CFR0319,B09,RPA0001,FRA,95.4,20.0,19.1,10.0,40.0,50.0,50.0,954.0,,,
CFR0227,C09,RPA0001,FRA,101,20.0,20.2,10.0,40.0,50.0,50.0,1010.0,,,
CGR0449,D09,RPA0001,GER,93.4,20.0,18.7,10.0,40.0,50.0,50.0,934.0,,,
CGR0285,E09,RPA0001,GER,19.7,20.0,9.9,25.0,25.0,50.0,50.0,492.5,,,
blank,F09,RPA0001,BLANK,0,20.0,0.0,25.0,25.0,50.0,50.0,0.0,,,
CFR0224,G09,RPA0001,FRA,15.4,20.0,7.7,25.0,25.0,50.0,50.0,385.0,,,
CFR0120,H09,RPA0001,FRA,23.4,20.0,11.7,25.0,25.0,50.0,50.0,585.0,,,
CGR0232,A10,RPA0001,GER,28.4,20.0,14.2,25.0,25.0,50.0,50.0,710.0,,,
CAR0743,B10,RPA0001,USA,0,20.0,0.0,25.0,25.0,50.0,50.0,0.0,,,
CGR0220,C10,RPA0001,GER,89.7,20.0,17.9,10.0,40.0,50.0,50.0,897.0,,,
CFR0111,D10,RPA0001,FRA,88.8,20.0,17.8,10.0,40.0,50.0,50.0,888.0,,,
