plate	well	status	stock_conc	diluent_vol	final_vol	final_conc
PCE007	A1	conc below target	1.74	0	10.0	1.74
PCE007	B1	conc below target	2.86	0	10.0	2.86
PCE007	C1	conc below target	4.71	0	10.0	4.71
PCE007	D1	conc below target	1.57	0	10.0	1.57
PCE007	E1	transfer too small	7.05	0	10.0	7.05
PCE007	F1	conc below target	2.06	0	10.0	2.06
PCE007	G1	conc below target	1.61	0	10.0	1.61
PCE007	H1	conc below target	1.94	0	10.0	1.94
PCE007	A2	conc below target	3.09	0	10.0	3.09
PCE007	B2	transfer too small	6.01	0	10.0	6.01
PCE007	C2	conc below target	4.01	0	10.0	4.01
PCE007	D2	conc below target	4.62	0	10.0	4.62
PCE007	E2	OK	18.53	27.1	37.07	5.0
PCE007	F2	conc below target	2.85	0	10.0	2.85
PCE007	G2	conc below target	2.58	0	10.0	2.58
PCE007	H2	conc below target	2.52	0	10.0	2.52
PCE007	A3	transfer too small	5.72	0	10.0	5.72
PCE007	B3	OK	11.92	13.8	23.83	5.0
PCE007	C3	OK	7.85	5.7	15.7	5.0
PCE007	D3	conc below target	2.33	0	10.0	2.33
PCE007	E3	conc below target	2.94	0	10.0	2.94
PCE007	F3	conc below target	2.69	0	10.0	2.69
PCE007	G3	conc below target	2.9	0	10.0	2.9
PCE007	H3	conc below target	3.31	0	10.0	3.31
PCE007	A4	conc below target	4.46	0	10.0	4.46
PCE007	B4	conc below target	2.48	0	10.0	2.48
PCE007	C4	conc below target	3.11	0	10.0	3.11
PCE007	D4	conc below target	4.1	0	10.0	4.1
PCE007	E4	OK	8.09	6.2	16.18	5.0
PCE007	F4	conc below target	3.85	0	10.0	3.85
PCE007	G4	transfer too small	6.08	0	10.0	6.08
PCE007	H4	conc below target	2.27	0	10.0	2.27
PCE007	A5	conc below target	4.19	0	10.0	4.19
PCE007	B5	conc below target	4.13	0	10.0	4.13
PCE007	C5	OK	37.25	64.5	74.5	5.0
PCE007	D5	conc below target	2.31	0	10.0	2.31
PCE007	E5	conc below target	2.9	0	10.0	2.9
PCE007	F5	transfer too small	6.41	0	10.0	6.41
PCE007	G5	conc below target	3.61	0	10.0	3.61
PCE007	H5	OK	15.2	20.4	30.39	5.0
PCE007	A6	conc below target	3.36	0	10.0	3.36
PCE007	B6	conc below target	4.47	0	10.0	4.47
PCE007	C6	conc below target	2.31	0	10.0	2.31
PCE007	D6	conc below target	4.43	0	10.0	4.43
PCE007	E6	conc below target	2.48	0	10.0	2.48
PCE007	F6	conc below target	2.78	0	10.0	2.78
PCE007	G6	transfer too small	5.65	0	10.0	5.65
PCE007	H6	conc below target	2.81	0	10.0	2.81
PCE007	A7	conc below target	4.02	0	10.0	4.02
PCE007	B7	conc below target	2.24	0	10.0	2.24
PCE007	C7	conc below target	2.95	0	10.0	2.95
PCE007	D7	conc below target	2.53	0	10.0	2.53
PCE007	E7	conc below target	2.65	0	10.0	2.65
PCE007	F7	conc below target	4.3	0	10.0	4.3
PCE007	G7	transfer too small	6.27	0	10.0	6.27
PCE007	H7	conc below target	2.51	0	10.0	2.51
PCE007	A8	conc below target	4.42	0	10.0	4.42
PCE007	B8	OK	10.02	10.0	20.04	5.0
PCE007	C8	conc below target	3.16	0	10.0	3.16
PCE007	D8	OK	9.37	8.7	18.74	5.0
PCE007	E8	OK	9.97	9.9	19.94	5.0
PCE007	F8	conc below target	4.53	0	10.0	4.53
PCE007	G8	OK	17.38	24.8	34.75	5.0
PCE007	H8	OK	13.94	17.9	27.88	5.0
PCE007	A9	conc below target	2.7	0	10.0	2.7
PCE007	B9	OK	7.99	6.0	15.99	5.0
PCE007	C9	conc below target	4.23	0	10.0	4.23
PCE007	D9	conc below target	2.74	0	10.0	2.74
PCE007	E9	OK	10.23	10.5	20.45	5.0
PCE007	F9	conc below target	2.58	0	10.0	2.58
PCE007	G9	conc below target	4.72	0	10.0	4.72
PCE007	H9	conc below target	3.03	0	10.0	3.03
PCE007	A10	OK	15.04	20.1	30.08	5.0
PCE007	B10	transfer too small	5.72	0	10.0	5.72
PCE007	C10	transfer too small	6.64	0	10.0	6.64
PCE007	D10	OK	14.14	18.3	28.28	5.0
PCE007	E10	conc below target	2.68	0	10.0	2.68
PCE007	F10	OK	8.36	6.7	16.73	5.0
PCE007	G10	OK	8.43	6.9	16.87	5.0
PCE007	H10	conc below target	4.57	0	10.0	4.57
PCE007	A11	conc below target	3.24	0	10.0	3.24
PCE007	B11	conc below target	3.3	0	10.0	3.3
PCE007	C11	conc below target	4.95	0	10.0	4.95
PCE007	D11	OK	8.07	6.1	16.14	5.0
PCE007	E11	conc below target	4.01	0	10.0	4.01
PCE007	F11	transfer too small	5.7	0	10.0	5.7
PCE007	G11	OK	12.25	14.5	24.51	5.0
PCE007	H11	conc below target	2.44	0	10.0	2.44
PCE007	A12	transfer too small	6.53	0	10.0	6.53
PCE007	B12	conc below target	2.43	0	10.0	2.43
PCE007	C12	conc below target	4.83	0	10.0	4.83
PCE007	D12	conc below target	2.62	0	10.0	2.62
PCE007	E12	conc below target	4.35	0	10.0	4.35
PCE007	F12	transfer too small	6.77	0	10.0	6.77
PCE007	G12	conc below target	3.47	0	10.0	3.47
PCE007	H12	OK	10.89	11.8	21.79	5.0
PCE008	A1	conc below target	2.56	0	10.0	2.56
PCE008	B1	conc below target	1.55	0	10.0	1.55
PCE008	C1	conc below target	1.7	0	10.0	1.7
PCE008	D1	conc below target	2.77	0	10.0	2.77
PCE008	E1	conc below target	3.2	0	10.0	3.2
PCE008	F1	conc below target	1.66	0	10.0	1.66
PCE008	G1	transfer too small	5.22	0	10.0	5.22
PCE008	H1	conc below target	1.65	0	10.0	1.65
PCE008	A2	conc below target	4.37	0	10.0	4.37
PCE008	B2	conc below target	1.41	0	10.0	1.41
PCE008	C2	conc below target	1.9	0	10.0	1.9
PCE008	D2	OK	7.71	5.4	15.41	5.0
PCE008	E2	conc below target	2.19	0	10.0	2.19
PCE008	F2	conc below target	1.5	0	10.0	1.5
PCE008	G2	OK	11.18	12.4	22.37	5.0
PCE008	H2	conc below target	2.12	0	10.0	2.12
PCE008	A3	transfer too small	5.5	0	10.0	5.5
PCE008	B3	transfer too small	7.46	0	10.0	7.46
PCE008	C3	OK	8.07	6.1	16.15	5.0
PCE008	D3	OK	9.46	8.9	18.92	5.0
PCE008	E3	conc below target	1.93	0	10.0	1.93
PCE008	F3	transfer too small	6.82	0	10.0	6.82
PCE008	G3	transfer too small	5.52	0	10.0	5.52
PCE008	H3	OK	7.78	5.6	15.56	5.0
PCE008	A4	conc below target	3.11	0	10.0	3.11
PCE008	B4	conc below target	4.02	0	10.0	4.02
PCE008	C4	conc below target	2.77	0	10.0	2.77
PCE008	D4	conc below target	1.79	0	10.0	1.79
PCE008	E4	conc below target	2.98	0	10.0	2.98
PCE008	F4	transfer too small	6.8	0	10.0	6.8
PCE008	G4	conc below target	2.06	0	10.0	2.06
PCE008	H4	conc below target	2.85	0	10.0	2.85
PCE008	A5	OK	18.39	26.8	36.79	5.0
PCE008	B5	OK	8.77	7.5	17.55	5.0
PCE008	C5	conc below target	1.62	0	10.0	1.62
PCE008	D5	OK	18.04	26.1	36.08	5.0
PCE008	E5	conc below target	3.1	0	10.0	3.1
PCE008	F5	conc below target	2.43	0	10.0	2.43
PCE008	G5	conc below target	4.38	0	10.0	4.38
PCE008	H5	transfer too small	5.75	0	10.0	5.75
PCE008	A6	conc below target	1.54	0	10.0	1.54
PCE008	B6	conc below target	2.61	0	10.0	2.61
PCE008	C6	transfer too small	5.37	0	10.0	5.37
PCE008	D6	conc below target	2.29	0	10.0	2.29
PCE008	E6	conc below target	2.28	0	10.0	2.28
PCE008	F6	conc below target	2.03	0	10.0	2.03
PCE008	G6	conc below target	2.18	0	10.0	2.18
PCE008	H6	conc below target	2.19	0	10.0	2.19
PCE008	A7	OK	11.02	12.0	22.03	5.0
PCE008	B7	transfer too small	5.97	0	10.0	5.97
PCE008	C7	conc below target	3.98	0	10.0	3.98
PCE008	D7	transfer too small	5.41	0	10.0	5.41
PCE008	E7	conc below target	2.31	0	10.0	2.31
PCE008	F7	conc below target	3.65	0	10.0	3.65
PCE008	G7	conc below target	2.39	0	10.0	2.39
PCE008	H7	conc below target	4.87	0	10.0	4.87
PCE008	A8	conc below target	4.0	0	10.0	4.0
PCE008	B8	OK	10.17	10.3	20.33	5.0
PCE008	C8	conc below target	1.95	0	10.0	1.95
PCE008	D8	conc below target	1.49	0	10.0	1.49
PCE008	E8	conc below target	1.77	0	10.0	1.77
PCE008	F8	conc below target	2.16	0	10.0	2.16
PCE008	G8	conc below target	1.5	0	10.0	1.5
PCE008	H8	conc below target	4.58	0	10.0	4.58
PCE008	A9	conc below target	1.23	0	10.0	1.23
PCE008	B9	conc below target	3.83	0	10.0	3.83
PCE008	C9	conc below target	2.96	0	10.0	2.96
PCE008	D9	OK	9.79	9.6	19.58	5.0
PCE008	E9	conc below target	2.49	0	10.0	2.49
PCE008	F9	conc below target	2.35	0	10.0	2.35
PCE008	G9	conc below target	1.51	0	10.0	1.51
PCE008	H9	conc below target	4.91	0	10.0	4.91
PCE008	A10	conc below target	4.0	0	10.0	4.0
PCE008	B10	transfer too small	7.34	0	10.0	7.34
PCE008	C10	conc below target	1.73	0	10.0	1.73
PCE008	D10	conc below target	2.59	0	10.0	2.59
PCE008	E10	conc below target	4.53	0	10.0	4.53
PCE008	F10	conc below target	1.77	0	10.0	1.77
PCE008	G10	conc below target	3.72	0	10.0	3.72
PCE008	H10	OK	19.33	28.7	38.67	5.0
PCE008	A11	conc below target	2.17	0	10.0	2.17
PCE008	B11	conc below target	2.11	0	10.0	2.11
PCE008	C11	conc below target	2.72	0	10.0	2.72
PCE008	D11	conc below target	2.98	0	10.0	2.98
PCE008	E11	conc below target	1.46	0	10.0	1.46
PCE008	F11	OK	13.22	16.4	26.44	5.0
PCE008	G11	conc below target	3.57	0	10.0	3.57
PCE008	H11	conc below target	3.07	0	10.0	3.07
PCE008	A12	conc below target	2.17	0	10.0	2.17
