plate	well	opentron_position	status	stock_conc	diluent_vol	final_vol	final_conc
plateA	A01	1	conc below target	2.04	0	10.0	2.04
plateA	B01	1	conc below target	2.44	0	10.0	2.44
plateA	C01	1	conc below target	1.77	0	10.0	1.77
plateA	D01	1	OK	56.53	103.1	113.06	5.0
plateA	E01	1	OK	14.82	19.6	29.64	5.0
plateA	F01	1	conc below target	3.05	0	10.0	3.05
plateA	G01	1	OK	27.94	45.9	55.88	5.0
plateA	H01	1	conc below target	2.07	0	10.0	2.07
plateA	A02	1	conc below target	0.0	0	10.0	0.0
plateA	B02	1	conc below target	1.18	0	10.0	1.18
plateA	C02	1	conc below target	0.79	0	10.0	0.79
plateA	D02	1	conc below target	1.11	0	10.0	1.11
plateA	E02	1	conc below target	1.74	0	10.0	1.74
plateA	F02	1	conc below target	0.38	0	10.0	0.38
plateA	G02	1	conc below target	0.0	0	10.0	0.0
plateA	H02	1	OK	40.9	71.8	81.79	5.0
plateA	A03	1	OK	70.68	131.4	141.35	5.0
plateA	B03	1	conc below target	0.26	0	10.0	0.26
plateA	C03	1	OK	11.71	13.4	23.43	5.0
plateA	D03	1	OK	39.47	68.9	78.94	5.0
plateA	E03	1	conc below target	3.03	0	10.0	3.03
plateA	F03	1	conc below target	1.58	0	10.0	1.58
plateA	G03	1	conc below target	0.0	0	10.0	0.0
plateA	H03	1	OK	37.93	65.9	75.85	5.0
plateA	A04	1	OK	64.66	119.3	129.32	5.0
plateA	B04	1	OK	32.86	55.7	65.71	5.0
plateA	C04	1	conc below target	1.67	0	10.0	1.67
plateA	D04	1	OK	63.14	116.3	126.28	5.0
plateA	E04	1	conc below target	0.31	0	10.0	0.31
plateA	F04	1	OK	27.07	44.1	54.14	5.0
plateA	G04	1	OK	29.56	49.1	59.12	5.0
plateA	H04	1	OK	51.15	92.3	102.3	5.0
plateA	A05	1	OK	20.6	31.2	41.21	5.0
plateA	B05	1	OK	32.46	54.9	64.91	5.0
plateA	C05	1	OK	53.2	96.4	106.4	5.0
plateA	D05	1	conc below target	1.04	0	10.0	1.04
plateA	E05	1	conc below target	0.44	0	10.0	0.44
plateA	F05	1	conc below target	2.53	0	10.0	2.53
plateA	G05	1	OK	29.4	48.8	58.8	5.0
plateA	H05	1	conc below target	2.02	0	10.0	2.02
plateA	A06	1	conc below target	1.93	0	10.0	1.93
plateA	B06	1	OK	58.56	107.1	117.12	5.0
plateA	C06	1	conc below target	1.08	0	10.0	1.08
plateA	D06	1	OK	23.25	36.5	46.5	5.0
plateA	E06	1	conc below target	1.01	0	10.0	1.01
plateA	F06	1	conc below target	1.79	0	10.0	1.79
plateA	G06	1	conc below target	1.79	0	10.0	1.79
plateA	H06	1	OK	37.61	65.2	75.22	5.0
plateA	A07	1	conc below target	0.15	0	10.0	0.15
plateA	B07	1	conc below target	2.47	0	10.0	2.47
plateA	C07	1	conc below target	1.5	0	10.0	1.5
plateA	D07	1	conc below target	1.68	0	10.0	1.68
plateA	E07	1	conc below target	2.85	0	10.0	2.85
plateA	F07	1	OK	29.24	48.5	58.49	5.0
plateA	G07	1	conc below target	0.0	0	10.0	0.0
plateA	H07	1	conc below target	0.0	0	10.0	0.0
plateA	A08	1	conc below target	0.0	0	10.0	0.0
plateA	B08	1	conc below target	1.3	0	10.0	1.3
plateA	C08	1	conc below target	3.84	0	10.0	3.84
plateA	D08	1	conc below target	1.0	0	10.0	1.0
plateA	E08	1	conc below target	2.93	0	10.0	2.93
plateA	F08	1	OK	48.02	86.0	96.04	5.0
plateA	G08	1	conc below target	0.0	0	10.0	0.0
plateA	H08	1	OK	10.96	11.9	21.91	5.0
plateA	A09	1	conc below target	0.0	0	10.0	0.0
plateA	B09	1	conc below target	0.85	0	10.0	0.85
plateA	C09	1	conc below target	1.53	0	10.0	1.53
plateA	D09	1	conc below target	1.3	0	10.0	1.3
plateA	E09	1	conc below target	1.54	0	10.0	1.54
plateA	F09	1	conc below target	1.46	0	10.0	1.46
plateA	G09	1	conc below target	0.0	0	10.0	0.0
plateA	H09	1	conc below target	0.0	0	10.0	0.0
plateA	A10	1	OK	45.01	80.0	90.02	5.0
plateA	B10	1	OK	30.87	51.7	61.74	5.0
plateA	C10	1	conc below target	1.5	0	10.0	1.5
plateA	D10	1	conc below target	1.13	0	10.0	1.13
plateA	E10	1	OK	47.67	85.3	95.34	5.0
plateA	F10	1	conc below target	2.04	0	10.0	2.04
plateA	G10	1	conc below target	1.86	0	10.0	1.86
plateA	H10	1	conc below target	0.0	0	10.0	0.0
