plate_name,well,value,conc,r2,comment
PD1,A01,13045,55.75,0.98,
PD1,B01,4848,19.42,0.98,
PD1,C01,4969,19.96,0.98,
PD1,D01,6098,24.96,0.98,
PD1,E01,1187,3.19,0.98,
PD1,F01,14116,60.50,0.98,
PD1,G01,6259,25.67,0.98,
PD1,H01,924,2.03,0.98,
PD1,A02,629,0.00,0.98,
PD1,B02,5206,10.53,0.98,
PD1,C02,25878,59.87,0.98,
PD1,D02,2402,3.84,0.98,
PD1,E02,13899,31.28,0.98,
PD1,F02,1399,1.45,0.98,
PD1,G02,26986,62.52,0.98,
PD1,H02,7150,15.17,0.98,
PD1,A03,2792,4.77,0.98,
PD1,B03,5094,10.26,0.98,
PD1,C03,34670,80.85,0.98,
PD1,D03,25352,58.62,0.98,
PD1,E03,1157,0.87,0.98,
PD1,F03,24527,56.65,0.98,
PD1,G03,12181,27.18,0.98,
PD1,H03,15158,34.28,0.98,
PD1,A04,13640,30.66,0.98,
PD1,B04,8977,19.53,0.98,
PD1,C04,728,0.00,0.98,
PD1,D04,1355,1.34,0.98,
PD1,E04,9948,21.85,0.98,
PD1,F04,23223,53.53,0.98,
PD1,G04,612,0.00,0.98,
PD1,H04,6404,13.39,0.98,
PD1,A05,29209,67.82,0.98,
PD1,B05,6044,12.53,0.98,
PD1,C05,818,0.06,0.98,
PD1,D05,9538,20.87,0.98,
PD1,E05,1703,2.17,0.98,
PD1,F05,8009,17.22,0.98,
PD1,G05,28662,66.52,0.98,
PD1,H05,2424,3.89,0.98,
PD1,A06,12883,28.86,0.98,
PD1,B06,1226,1.03,0.98,
PD1,C06,3937,7.50,0.98,
PD1,D06,612,0.00,0.98,
PD1,E06,678,0.00,0.98,
PD1,F06,7170,15.22,0.98,
PD1,G06,587,0.00,0.98,
PD1,H06,7391,15.75,0.98,
PD1,A07,709,0.00,0.98,
PD1,B07,2611,4.34,0.98,
PD1,C07,622,0.00,0.98,
PD1,D07,925,0.31,0.98,
PD1,E07,28587,66.34,0.98,
PD1,F07,14387,32.44,0.98,
PD1,G07,968,0.42,0.98,
PD1,H07,744,0.00,0.98,
PD1,A08,11558,25.69,0.98,
PD1,B08,28975,67.26,0.98,
PD1,C08,653,0.00,0.98,
PD1,D08,1021,0.54,0.98,
PD1,E08,18434,42.10,0.98,
PD1,F08,1859,2.54,0.98,
PD1,G08,589,0.00,0.98,
PD1,H08,4227,8.20,0.98,
PD1,A09,516,0.00,0.98,
PD1,B09,4748,9.44,0.98,
PD1,C09,647,0.00,0.98,
PD1,D09,6475,13.56,0.98,
PD1,E09,2269,3.52,0.98,
PD1,F09,1011,0.52,0.98,
PD1,G09,947,0.37,0.98,
PD1,H09,5019,10.09,0.98,
PD1,A10,859,0.16,0.98,
PD1,B10,21694,49.88,0.98,
PD1,C10,3235,5.83,0.98,
PD1,D10,22877,52.71,0.98,
PD1,E10,3574,6.64,0.98,
PD1,F10,594,0.00,0.98,
PD1,G10,715,0.00,0.98,
PD1,H10,28701,66.61,0.98,
PD1,A11,1022,0.55,0.98,
PD1,B11,7163,15.20,0.98,
PD1,C11,5419,11.04,0.98,
PD1,D11,19971,45.77,0.98,
PD1,E11,30609,71.16,0.98,
PD1,F11,575,0.00,0.98,
PD1,G11,11913,26.54,0.98,
PD1,H11,17118,38.96,0.98,
PD1,A12,1286,1.18,0.98,
PD1,B12,2760,4.69,0.98,
PD1,C12,17106,38.93,0.98,
PD1,D12,551,0.00,0.98,
PD1,E12,777,0.00,0.98,
PD1,F12,54061,127.14,0.98,
PD1,G12,39576,92.56,0.98,
PD1,H12,9114,19.86,0.98,
PD2,A01,7854,32.74,0.98,
PD2,B01,7440,30.91,0.98,
PD2,C01,5395,21.84,0.98,
PD2,D01,8860,37.20,0.98,
PD2,E01,5255,21.22,0.98,
PD2,F01,2949,11.00,0.98,
PD2,G01,754,1.28,0.98,
PD2,H01,8718,36.57,0.98,
PD2,A02,13339,25.32,0.98,
PD2,B02,35690,71.19,0.98,
PD2,C02,23944,47.08,0.98,
PD2,D02,3433,4.99,0.98,
PD2,E02,4446,7.07,0.98,
PD2,F02,10774,20.05,0.98,
PD2,G02,1269,0.55,0.98,
PD2,H02,7535,13.41,0.98,
PD2,A03,10694,19.89,0.98,
PD2,B03,3010,4.12,0.98,
PD2,C03,8782,15.97,0.98,
PD2,D03,785,0.00,0.98,
PD2,E03,999,0.00,0.98,
PD2,F03,20967,40.97,0.98,
PD2,G03,18037,34.96,0.98,
PD2,H03,7411,13.15,0.98,
PD2,A04,4994,8.19,0.98,
PD2,B04,9555,17.55,0.98,
PD2,C04,19192,37.33,0.98,
PD2,D04,11332,21.20,0.98,
PD2,E04,3005,4.11,0.98,
PD2,F04,1093,0.19,0.98,
PD2,G04,2720,3.53,0.98,
PD2,H04,21901,42.89,0.98,
PD2,A05,7142,12.60,0.98,
PD2,B05,10096,18.66,0.98,
PD2,C05,1489,1.00,0.98,
PD2,D05,1429,0.88,0.98,
PD2,E05,16071,30.93,0.98,
PD2,F05,37727,75.37,0.98,
PD2,G05,1317,0.65,0.98,
PD2,H05,3003,4.11,0.98,
PD2,A06,1035,0.07,0.98,
PD2,B06,5483,9.20,0.98,
PD2,C06,14033,26.74,0.98,
PD2,D06,29513,58.51,0.98,
PD2,E06,9481,17.40,0.98,
PD2,F06,6236,10.74,0.98,
PD2,G06,15440,29.63,0.98,
PD2,H06,50298,101.17,0.98,
PD2,A07,885,0.00,0.98,
PD2,B07,913,0.00,0.98,
PD2,C07,35254,70.29,0.98,
PD2,D07,11126,20.78,0.98,
PD2,E07,2257,2.58,0.98,
PD2,F07,13911,26.49,0.98,
PD2,G07,17003,32.84,0.98,
PD2,H07,13610,25.87,0.98,
PD2,A08,13503,25.66,0.98,
PD2,B08,12434,23.46,0.98,
PD2,C08,21184,41.42,0.98,
PD2,D08,2262,2.59,0.98,
PD2,E08,3880,5.91,0.98,
PD2,F08,17576,34.01,0.98,
PD2,G08,3075,4.25,0.98,
PD2,H08,11915,22.40,0.98,
PD2,A09,12200,22.98,0.98,
PD2,B09,52757,106.21,0.98,
PD2,C09,10173,18.82,0.98,
PD2,D09,3911,5.97,0.98,
PD2,E09,7250,12.82,0.98,
PD2,F09,2144,2.34,0.98,
PD2,G09,18177,35.25,0.98,
PD2,H09,50570,101.73,0.98,
PD2,A10,14224,27.13,0.98,
PD2,B10,20353,39.71,0.98,
PD2,C10,11971,22.51,0.98,
PD2,D10,9456,17.35,0.98,
PD2,E10,44312,88.88,0.98,
PD2,F10,47184,94.78,0.98,
PD2,G10,52121,104.91,0.98,
PD2,H10,18671,36.26,0.98,
PD2,A11,24093,47.39,0.98,
PD2,B11,8092,14.55,0.98,
PD2,C11,9128,16.68,0.98,
PD2,D11,42929,86.04,0.98,
PD2,E11,9953,18.37,0.98,
PD2,F11,37108,74.10,0.98,
PD2,G11,15629,30.02,0.98,
PD2,H11,16941,32.71,0.98,
PD2,A12,9381,17.20,0.98,
PD2,B12,8259,14.89,0.98,
PD2,C12,38835,77.64,0.98,
PD2,D12,17483,33.82,0.98,
PD2,E12,7084,12.48,0.98,
PD2,F12,3766,5.67,0.98,
PD2,G12,1040,0.08,0.98,
PD2,H12,1119,0.24,0.98,
PD3,A01,205,0.00,0.98,empty well
PD3,B01,202,0.00,0.98,empty well
PD3,C01,252,0.00,0.98,empty well
PD3,D01,8627,36.17,0.98,
PD3,E01,2106,7.27,0.98,
PD3,F01,248,0.00,0.98,empty well
PD3,G01,216,0.00,0.98,empty well
PD3,H01,253,0.00,0.98,empty well
PD3,A02,467,0.00,0.99,empty well
PD3,B02,26534,56.07,0.99,
PD3,C02,1650,2.16,0.99,
PD3,D02,569,0.00,0.99,
PD3,E02,14092,29.12,0.99,
PD3,F02,1238,1.27,0.99,
PD3,G02,629,0.00,0.99,empty well
PD3,H02,482,0.00,0.99,empty well
PD3,A03,15524,32.22,0.99,
PD3,B03,4266,7.83,0.99,
PD3,C03,10273,20.84,0.99,
PD3,D03,1185,1.15,0.99,
PD3,E03,1319,1.44,0.99,
PD3,F03,2708,4.45,0.99,
PD3,G03,4307,7.92,0.99,
PD3,H03,538,0.00,0.99,empty well
PD3,A04,9685,19.57,0.99,
PD3,B04,7724,15.32,0.99,
PD3,C04,4781,8.94,0.99,
PD3,D04,14081,29.09,0.99,
PD3,E04,5939,11.45,0.99,
PD3,F04,12171,24.95,0.99,
PD3,G04,8564,17.14,0.99,
PD3,H04,566,0.00,0.99,empty well
PD3,A05,28887,61.17,0.99,
PD3,B05,9259,18.64,0.99,
PD3,C05,490,0.00,0.99,
PD3,D05,2704,4.44,0.99,
PD3,E05,5501,10.50,0.99,
PD3,F05,2124,3.19,0.99,
PD3,G05,3781,6.78,0.99,
PD3,H05,9650,19.49,0.99,
PD3,A06,474,0.00,0.99,empty well
PD3,B06,795,0.31,0.99,
PD3,C06,16668,34.70,0.99,
PD3,D06,9313,18.76,0.99,
PD3,E06,8030,15.98,0.99,
PD3,F06,14656,30.34,0.99,
PD3,G06,13222,27.23,0.99,
PD3,H06,28842,61.07,0.99,
PD3,A07,26431,55.85,0.99,
PD3,B07,18679,39.05,0.99,
PD3,C07,9618,19.42,0.99,
PD3,D07,939,0.62,0.99,
PD3,E07,1158,1.09,0.99,
PD3,F07,8159,16.26,0.99,
PD3,G07,505,0.00,0.99,
PD3,H07,496,0.00,0.99,empty well
PD3,A08,6268,12.16,0.99,
PD3,B08,570,0.00,0.99,
PD3,C08,2567,4.15,0.99,
PD3,D08,2547,4.10,0.99,
PD3,E08,8742,17.52,0.99,
PD3,F08,720,0.14,0.99,
PD3,G08,10121,20.51,0.99,
PD3,H08,819,0.36,0.99,
PD3,A09,2196,3.34,0.99,
PD3,B09,7990,15.89,0.99,
PD3,C09,16688,34.74,0.99,
PD3,D09,6858,13.44,0.99,
PD3,E09,16721,34.81,0.99,
PD3,F09,14744,30.53,0.99,
PD3,G09,8964,18.01,0.99,
PD3,H09,8955,17.99,0.99,
PD3,A10,7854,15.60,0.99,
PD3,B10,20398,42.78,0.99,
PD3,C10,8211,16.37,0.99,
PD3,D10,2359,3.69,0.99,
PD3,E10,471,0.00,0.99,
PD3,F10,3685,6.57,0.99,
PD3,G10,47595,101.70,0.99,
PD3,H10,24283,51.20,0.99,
PD3,A11,460,0.00,0.99,empty well
PD3,B11,3945,7.13,0.99,
PD3,C11,13123,27.02,0.99,
PD3,D11,5084,9.60,0.99,
PD3,E11,15616,32.42,0.99,
PD3,F11,2394,3.77,0.99,
PD3,G11,18211,38.04,0.99,
PD3,H11,12362,25.37,0.99,
PD3,A12,12041,24.67,0.99,
PD3,B12,5049,9.52,0.99,
PD3,C12,470,0.00,0.99,
PD3,D12,4784,8.95,0.99,
PD3,E12,1599,2.05,0.99,
PD3,F12,1303,1.41,0.99,
PD3,G12,7412,14.64,0.99,
PD3,H12,425,0.00,0.99,
PD4,A01,3184,12.05,0.98,
PD4,B01,263,0.00,0.98,empty well
PD4,C01,1055,2.61,0.98,
PD4,D01,5966,24.38,0.98,
PD4,E01,3129,11.80,0.98,
PD4,F01,15635,67.23,0.98,
PD4,G01,11791,50.19,0.98,
PD4,H01,15930,68.54,0.98,
PD4,A02,11358,20.60,0.99,
PD4,B02,23831,45.06,0.99,
PD4,C02,6052,10.19,0.99,
PD4,D02,22982,43.40,0.99,
PD4,E02,9221,16.41,0.99,
PD4,F02,6727,11.52,0.99,
PD4,G02,7258,12.56,0.99,
PD4,H02,2156,2.55,0.99,
PD4,A03,24095,45.58,0.99,
PD4,B03,20627,38.78,0.99,
PD4,C03,11639,21.15,0.99,
PD4,D03,28924,55.05,0.99,
PD4,E03,18964,35.52,0.99,
PD4,F03,512,0.00,0.99,
PD4,G03,12942,23.71,0.99,
PD4,H03,4902,7.94,0.99,
PD4,A04,27251,51.77,0.99,
PD4,B04,17197,32.05,0.99,
PD4,C04,17189,32.03,0.99,
PD4,D04,4416,6.99,0.99,
PD4,E04,17233,32.12,0.99,
PD4,F04,15256,28.24,0.99,
PD4,G04,22148,41.76,0.99,
PD4,H04,7816,13.65,0.99,
PD4,A05,35514,67.97,0.99,
PD4,B05,607,0.00,0.99,
PD4,C05,18376,34.36,0.99,
PD4,D05,5710,9.52,0.99,
PD4,E05,6893,11.84,0.99,
PD4,F05,16664,31.01,0.99,
PD4,G05,41337,79.39,0.99,
PD4,H05,32635,62.33,0.99,
PD4,A06,17674,32.99,0.99,
PD4,B06,16429,30.54,0.99,
PD4,C06,18578,34.76,0.99,
PD4,D06,5853,9.80,0.99,
PD4,E06,19123,35.83,0.99,
PD4,F06,5133,8.39,0.99,
PD4,G06,18834,35.26,0.99,
PD4,H06,3352,4.90,0.99,
PD4,A07,532,0.00,0.99,
PD4,B07,10383,18.69,0.99,
PD4,C07,7155,12.36,0.99,
PD4,D07,22637,42.72,0.99,
PD4,E07,34646,66.27,0.99,
PD4,F07,828,0.00,0.99,
PD4,G07,9875,17.69,0.99,
PD4,H07,1281,0.84,0.99,
PD4,A08,11079,20.05,0.99,
PD4,B08,34473,65.93,0.99,
PD4,C08,1587,1.44,0.99,
PD4,D08,7447,12.93,0.99,
PD4,E08,25841,49.00,0.99,
PD4,F08,17635,32.91,0.99,
PD4,G08,31877,60.84,0.99,
PD4,H08,548,0.00,0.99,
PD4,A09,25380,48.10,0.99,
PD4,B09,2903,4.02,0.99,
PD4,C09,12662,23.16,0.99,
PD4,D09,10762,19.43,0.99,
PD4,E09,11439,20.76,0.99,
PD4,F09,35395,67.74,0.99,
PD4,G09,7829,13.68,0.99,
PD4,H09,7521,13.07,0.99,
PD4,A10,24737,46.84,0.99,
PD4,B10,3759,5.70,0.99,
PD4,C10,7831,13.68,0.99,
PD4,D10,4081,6.33,0.99,
PD4,E10,5704,9.51,0.99,
PD4,F10,25021,47.39,0.99,
PD4,G10,18934,35.46,0.99,
PD4,H10,14324,26.42,0.99,
PD4,A11,521,0.00,0.99,empty well
PD4,B11,1025,0.34,0.99,
PD4,C11,14514,26.79,0.99,
PD4,D11,24857,47.07,0.99,
PD4,E11,19680,36.92,0.99,
PD4,F11,50555,97.47,0.99,
PD4,G11,10877,19.66,0.99,
PD4,H11,33313,63.66,0.99,
PD4,A12,478,0.00,0.99,
PD4,B12,3626,5.44,0.99,
PD4,C12,11393,20.67,0.99,
PD4,D12,20094,37.73,0.99,
PD4,E12,8416,14.83,0.99,
PD4,F12,24031,45.45,0.99,
PD4,G12,26928,51.13,0.99,
PD4,H12,592,0.00,0.99,empty well
PD5,A01,399,0.00,0.98,
PD5,B01,2750,10.12,0.98,
PD5,C01,1333,3.84,0.98,
PD5,D01,369,0.00,0.98,
PD5,E01,1355,3.94,0.98,
PD5,F01,5008,20.13,0.98,
PD5,G01,1912,6.41,0.98,
PD5,H01,1746,5.67,0.98,
PD5,A02,1536,0.00,0.99,
PD5,B02,23083,23.04,0.99,
PD5,C02,2687,1.23,0.99,
PD5,D02,1541,0.01,0.99,
PD5,E02,5867,4.63,0.99,
PD5,F02,2391,0.92,0.99,
PD5,G02,3175,1.76,0.99,
PD5,H02,18978,18.66,0.99,
PD5,A03,3134,1.71,0.99,
PD5,B03,1115,0.00,0.99,
PD5,C03,1039,0.00,0.99,
PD5,D03,992,0.00,0.99,
PD5,E03,2163,0.67,0.99,
PD5,F03,9162,8.16,0.99,
PD5,G03,15062,14.47,0.99,
PD5,H03,10666,9.77,0.99,
PD5,A04,9026,8.01,0.99,
PD5,B04,1215,0.00,0.99,
PD5,C04,1619,0.09,0.99,
PD5,D04,1589,0.06,0.99,
PD5,E04,7093,5.95,0.99,
PD5,F04,3424,2.02,0.99,
PD5,G04,2298,0.82,0.99,
PD5,H04,2104,0.61,0.99,
PD5,A05,1799,0.28,0.99,
PD5,B05,1444,0.00,0.99,
PD5,C05,1402,0.00,0.99,
PD5,D05,1173,0.00,0.99,
PD5,E05,7785,6.69,0.99,
PD5,F05,3681,2.30,0.99,
PD5,G05,7876,6.78,0.99,
PD5,H05,19653,19.38,0.99,
PD5,A06,1079,0.00,0.99,
PD5,B06,1182,0.00,0.99,
PD5,C06,1045,0.00,0.99,
PD5,D06,1159,0.00,0.99,
PD5,E06,5357,4.09,0.99,
PD5,F06,2784,1.34,0.99,
PD5,G06,4822,3.52,0.99,
PD5,H06,16014,15.49,0.99,
PD5,A07,1209,0.00,0.99,
PD5,B07,1316,0.00,0.99,
PD5,C07,1436,0.00,0.99,
PD5,D07,1180,0.00,0.99,
PD5,E07,2007,0.51,0.99,
PD5,F07,1850,0.34,0.99,
PD5,G07,1036,0.00,0.99,
PD5,H07,1208,0.00,0.99,
PD5,A08,10578,9.67,0.99,
PD5,B08,1784,0.27,0.99,
PD5,C08,1729,0.21,0.99,
PD5,D08,1043,0.00,0.99,
PD5,E08,8808,7.78,0.99,
PD5,F08,3455,2.06,0.99,
PD5,G08,3819,2.44,0.99,
PD5,H08,996,0.00,0.99,
PD5,A09,1020,0.00,0.99,
PD5,B09,1448,0.00,0.99,
PD5,C09,2598,1.14,0.99,
PD5,D09,2294,0.81,0.99,
PD5,E09,1013,0.00,0.99,
PD5,F09,1962,0.46,0.99,
PD5,G09,2201,0.71,0.99,
PD5,H09,8529,7.48,0.99,
PD5,A10,8027,6.94,0.99,
PD5,B10,1392,0.00,0.99,
PD5,C10,1107,0.00,0.99,
PD5,D10,1430,0.00,0.99,
PD5,E10,20399,20.17,0.99,
PD5,F10,3835,2.46,0.99,
PD5,G10,1725,0.21,0.99,
PD5,H10,1374,0.00,0.99,
PD5,A11,1458,0.00,0.99,
PD5,B11,1068,0.00,0.99,
PD5,C11,1566,0.04,0.99,
PD5,D11,1339,0.00,0.99,
PD5,E11,3860,2.49,0.99,
PD5,F11,1146,0.00,0.99,
PD5,G11,2188,0.70,0.99,
PD5,H11,12221,11.43,0.99,
PD5,A12,14276,13.63,0.99,
PD5,B12,1042,0.00,0.99,
PD5,C12,1183,0.00,0.99,
PD5,D12,13745,13.06,0.99,
PD5,E12,6194,4.98,0.99,
PD5,F12,1211,0.00,0.99,
PD5,G12,3719,2.34,0.99,
PD5,H12,47915,49.60,0.99,
PD7,A01,6460,26.56,0.98,
PD7,B01,13676,58.55,0.98,
PD7,C01,2671,9.77,0.98,
PD7,D01,11746,49.99,0.98,
