plate	well	status	stock_conc	diluent_vol	final_vol	final_conc
PD1	A1	OK	55.75	36.6	44.6	10.0
PD1	B1	OK	19.42	7.5	15.54	10.0
PD1	C1	OK	19.96	8.0	15.97	10.0
PD1	D1	OK	24.96	12.0	19.97	10.0
PD1	E1	conc below target	3.19	0	8.0	3.19
PD1	F1	OK	60.5	40.4	48.4	10.0
PD1	G1	OK	25.67	12.5	20.54	10.0
PD1	H1	conc below target	2.03	0	8.0	2.03
PD1	A2	conc below target	0.0	0	8.0	0.0
PD1	B2	transfer too small	10.53	0	8.0	10.53
PD1	C2	OK	59.87	39.9	47.9	10.0
PD1	D2	conc below target	3.84	0	8.0	3.84
PD1	E2	OK	31.28	17.0	25.02	10.0
PD1	F2	conc below target	1.45	0	8.0	1.45
PD1	G2	OK	62.52	42.0	50.02	10.0
PD1	H2	transfer too small	15.17	0	8.0	15.17
PD1	A3	conc below target	4.77	0	8.0	4.77
PD1	B3	transfer too small	10.26	0	8.0	10.26
PD1	C3	OK	80.85	56.7	64.68	10.0
PD1	D3	OK	58.62	38.9	46.9	10.0
PD1	E3	conc below target	0.87	0	8.0	0.87
PD1	F3	OK	56.65	37.3	45.32	10.0
PD1	G3	OK	27.18	13.7	21.74	10.0
PD1	H3	OK	34.28	19.4	27.42	10.0
PD1	A4	OK	30.66	16.5	24.53	10.0
PD1	B4	OK	19.53	7.6	15.62	10.0
PD1	C4	conc below target	0.0	0	8.0	0.0
PD1	D4	conc below target	1.34	0	8.0	1.34
PD1	E4	OK	21.85	9.5	17.48	10.0
PD1	F4	OK	53.53	34.8	42.82	10.0
PD1	G4	conc below target	0.0	0	8.0	0.0
PD1	H4	transfer too small	13.39	0	8.0	13.39
PD1	A5	OK	67.82	46.3	54.26	10.0
PD1	B5	transfer too small	12.53	0	8.0	12.53
PD1	C5	conc below target	0.06	0	8.0	0.06
PD1	D5	OK	20.87	8.7	16.7	10.0
PD1	E5	conc below target	2.17	0	8.0	2.17
PD1	F5	OK	17.22	5.8	13.78	10.0
PD1	G5	OK	66.52	45.2	53.22	10.0
PD1	H5	conc below target	3.89	0	8.0	3.89
PD1	A6	OK	28.86	15.1	23.09	10.0
PD1	B6	conc below target	1.03	0	8.0	1.03
PD1	C6	conc below target	7.5	0	8.0	7.5
PD1	D6	conc below target	0.0	0	8.0	0.0
PD1	E6	conc below target	0.0	0	8.0	0.0
PD1	F6	transfer too small	15.22	0	8.0	15.22
PD1	G6	conc below target	0.0	0	8.0	0.0
PD1	H6	transfer too small	15.75	0	8.0	15.75
PD1	A7	conc below target	0.0	0	8.0	0.0
PD1	B7	conc below target	4.34	0	8.0	4.34
PD1	C7	conc below target	0.0	0	8.0	0.0
PD1	D7	conc below target	0.31	0	8.0	0.31
PD1	E7	OK	66.34	45.1	53.07	10.0
PD1	F7	OK	32.44	18.0	25.95	10.0
PD1	G7	conc below target	0.42	0	8.0	0.42
PD1	H7	conc below target	0.0	0	8.0	0.0
PD1	A8	OK	25.69	12.6	20.55	10.0
PD1	B8	OK	67.26	45.8	53.81	10.0
PD1	C8	conc below target	0.0	0	8.0	0.0
PD1	D8	conc below target	0.54	0	8.0	0.54
PD1	E8	OK	42.1	25.7	33.68	10.0
PD1	F8	conc below target	2.54	0	8.0	2.54
PD1	G8	conc below target	0.0	0	8.0	0.0
PD1	H8	conc below target	8.2	0	8.0	8.2
PD1	A9	conc below target	0.0	0	8.0	0.0
PD1	B9	conc below target	9.44	0	8.0	9.44
PD1	C9	conc below target	0.0	0	8.0	0.0
PD1	D9	transfer too small	13.56	0	8.0	13.56
PD1	E9	conc below target	3.52	0	8.0	3.52
PD1	F9	conc below target	0.52	0	8.0	0.52
PD1	G9	conc below target	0.37	0	8.0	0.37
PD1	H9	transfer too small	10.09	0	8.0	10.09
PD1	A10	conc below target	0.16	0	8.0	0.16
PD1	B10	OK	49.88	31.9	39.9	10.0
PD1	C10	conc below target	5.83	0	8.0	5.83
PD1	D10	OK	52.71	34.2	42.17	10.0
PD1	E10	conc below target	6.64	0	8.0	6.64
PD1	F10	conc below target	0.0	0	8.0	0.0
PD1	G10	conc below target	0.0	0	8.0	0.0
PD1	H10	OK	66.61	45.3	53.29	10.0
PD1	A11	conc below target	0.55	0	8.0	0.55
PD1	B11	transfer too small	15.2	0	8.0	15.2
PD1	C11	transfer too small	11.04	0	8.0	11.04
PD1	D11	OK	45.77	28.6	36.62	10.0
PD1	E11	OK	71.16	48.9	56.93	10.0
PD1	F11	conc below target	0.0	0	8.0	0.0
PD1	G11	OK	26.54	13.2	21.23	10.0
PD1	H11	OK	38.96	23.2	31.17	10.0
PD1	A12	conc below target	1.18	0	8.0	1.18
PD1	B12	conc below target	4.69	0	8.0	4.69
PD1	C12	OK	38.93	23.1	31.14	10.0
PD1	D12	conc below target	0.0	0	8.0	0.0
PD1	E12	conc below target	0.0	0	8.0	0.0
PD1	F12	OK	127.14	93.7	101.71	10.0
PD1	G12	OK	92.56	66.0	74.05	10.0
PD1	H12	OK	19.86	7.9	15.89	10.0
PD2	A1	OK	32.74	18.2	26.19	10.0
PD2	B1	OK	30.91	16.7	24.73	10.0
PD2	C1	OK	21.84	9.5	17.47	10.0
PD2	D1	OK	37.2	21.8	29.76	10.0
PD2	E1	OK	21.22	9.0	16.98	10.0
PD2	F1	transfer too small	11.0	0	8.0	11.0
PD2	G1	conc below target	1.28	0	8.0	1.28
PD2	H1	OK	36.57	21.3	29.26	10.0
PD2	A2	OK	25.32	12.3	20.26	10.0
PD2	B2	OK	71.19	49.0	56.95	10.0
PD2	C2	OK	47.08	29.7	37.66	10.0
PD2	D2	conc below target	4.99	0	8.0	4.99
PD2	E2	conc below target	7.07	0	8.0	7.07
PD2	F2	OK	20.05	8.0	16.04	10.0
PD2	G2	conc below target	0.55	0	8.0	0.55
PD2	H2	transfer too small	13.41	0	8.0	13.41
PD2	A3	OK	19.89	7.9	15.91	10.0
PD2	B3	conc below target	4.12	0	8.0	4.12
PD2	C3	transfer too small	15.97	0	8.0	15.97
PD2	D3	conc below target	0.0	0	8.0	0.0
PD2	E3	conc below target	0.0	0	8.0	0.0
PD2	F3	OK	40.97	24.8	32.78	10.0
PD2	G3	OK	34.96	20.0	27.97	10.0
PD2	H3	transfer too small	13.15	0	8.0	13.15
PD2	A4	conc below target	8.19	0	8.0	8.19
PD2	B4	OK	17.55	6.0	14.04	10.0
PD2	C4	OK	37.33	21.9	29.86	10.0
PD2	D4	OK	21.2	9.0	16.96	10.0
PD2	E4	conc below target	4.11	0	8.0	4.11
PD2	F4	conc below target	0.19	0	8.0	0.19
PD2	G4	conc below target	3.53	0	8.0	3.53
PD2	H4	OK	42.89	26.3	34.31	10.0
PD2	A5	transfer too small	12.6	0	8.0	12.6
PD2	B5	OK	18.66	6.9	14.93	10.0
PD2	C5	conc below target	1.0	0	8.0	1.0
PD2	D5	conc below target	0.88	0	8.0	0.88
PD2	E5	OK	30.93	16.7	24.74	10.0
PD2	F5	OK	75.37	52.3	60.3	10.0
PD2	G5	conc below target	0.65	0	8.0	0.65
PD2	H5	conc below target	4.11	0	8.0	4.11
PD2	A6	conc below target	0.07	0	8.0	0.07
PD2	B6	conc below target	9.2	0	8.0	9.2
PD2	C6	OK	26.74	13.4	21.39	10.0
PD2	D6	OK	58.51	38.8	46.81	10.0
PD2	E6	OK	17.4	5.9	13.92	10.0
PD2	F6	transfer too small	10.74	0	8.0	10.74
PD2	G6	OK	29.63	15.7	23.7	10.0
PD2	H6	OK	101.17	72.9	80.94	10.0
PD2	A7	conc below target	0.0	0	8.0	0.0
PD2	B7	conc below target	0.0	0	8.0	0.0
PD2	C7	OK	70.29	48.2	56.23	10.0
PD2	D7	OK	20.78	8.6	16.62	10.0
PD2	E7	conc below target	2.58	0	8.0	2.58
PD2	F7	OK	26.49	13.2	21.19	10.0
PD2	G7	OK	32.84	18.3	26.27	10.0
PD2	H7	OK	25.87	12.7	20.7	10.0
PD2	A8	OK	25.66	12.5	20.53	10.0
PD2	B8	OK	23.46	10.8	18.77	10.0
PD2	C8	OK	41.42	25.1	33.14	10.0
PD2	D8	conc below target	2.59	0	8.0	2.59
PD2	E8	conc below target	5.91	0	8.0	5.91
PD2	F8	OK	34.01	19.2	27.21	10.0
PD2	G8	conc below target	4.25	0	8.0	4.25
PD2	H8	OK	22.4	9.9	17.92	10.0
PD2	A9	OK	22.98	10.4	18.38	10.0
PD2	B9	OK	106.21	77.0	84.97	10.0
PD2	C9	OK	18.82	7.1	15.06	10.0
PD2	D9	conc below target	5.97	0	8.0	5.97
PD2	E9	transfer too small	12.82	0	8.0	12.82
PD2	F9	conc below target	2.34	0	8.0	2.34
PD2	G9	OK	35.25	20.2	28.2	10.0
PD2	H9	OK	101.73	73.4	81.38	10.0
PD2	A10	OK	27.13	13.7	21.7	10.0
PD2	B10	OK	39.71	23.8	31.77	10.0
PD2	C10	OK	22.51	10.0	18.01	10.0
PD2	D10	OK	17.35	5.9	13.88	10.0
PD2	E10	OK	88.88	63.1	71.1	10.0
PD2	F10	OK	94.78	67.8	75.82	10.0
