plate_name,well,value,conc,r2
plateA,A01,1238,2.042612542221865,0.9840192948483146
plateA,B01,1552,2.4413726123935517,0.9840192948483146
plateA,C01,1021,1.7670363153834696,0.9840192948483146
plateA,D01,44145,56.53177920100078,0.9840192948483146
plateA,E01,11299,14.819443962595571,0.9840192948483146
plateA,F01,2030,3.048402273355547,0.9840192948483146
plateA,G01,21630,27.939158245855765,0.9840192948483146
plateA,H01,1256,2.06547139974763,0.9840192948483146
plateA,A02,1071,0,0.9792397825007271
plateA,B02,2116,1.1816396452881206,0.9792397825007271
plateA,C02,1846,0.7855554039132648,0.9792397825007271
plateA,D02,2065,1.1068237330284256,0.9792397825007271
plateA,E02,2497,1.7405585192281954,0.9792397825007271
plateA,F02,1571,0.3821362691796153,0.9792397825007271
plateA,G02,1010,0,0.9792397825007271
plateA,H02,29188,40.89568624714035,0.9792397825007271
plateA,A03,49489,70.67682026251424,0.9792397825007271
plateA,B03,1489,0.2618440180953996,0.9792397825007271
plateA,C03,9296,11.714546508515772,0.9792397825007271
plateA,D03,28215,39.468315999519106,0.9792397825007271
plateA,E03,3374,3.0270988143605972,0.9792397825007271
plateA,F03,2388,1.5806578440064942,0.9792397825007271
plateA,G03,1036,0,0.9792397825007271
plateA,H03,27164,37.92652141550068,0.9792397825007271
plateA,A04,45386,64.65780677228818,0.9792397825007271
plateA,B04,23707,32.85517614723077,0.9792397825007271
plateA,C04,2447,1.667209585640259,0.9792397825007271
plateA,D04,44350,63.13801686834614,0.9792397825007271
plateA,E04,1522,0.31025431426343775,0.9792397825007271
plateA,F04,19762,27.067945287142596,0.9792397825007271
plateA,G04,21462,29.56180902913243,0.9792397825007271
plateA,H04,36177,51.148400184062076,0.9792397825007271
plateA,A05,15356,20.60443725937365,0.9792397825007271
plateA,B05,23435,32.45615794851239,0.9792397825007271
plateA,C05,37574,53.197769388509016,0.9792397825007271
plateA,D05,2017,1.036408756784007,0.9792397825007271
plateA,E05,1611,0.4408154160499642,0.9792397825007271
plateA,F05,3035,2.5297930446343893,0.9792397825007271
plateA,G05,21353,29.401908353910727,0.9792397825007271
plateA,H05,2690,2.0236854028776294,0.9792397825007271
plateA,A06,2629,1.9341997039003471,0.9792397825007271
plateA,B06,41229,58.559576433787164,0.9792397825007271
plateA,C06,2047,1.0804181169367684,0.9792397825007271
plateA,D06,17159,23.24939980455463,0.9792397825007271
plateA,E06,1999,1.0100031406923498,0.9792397825007271
plateA,F06,2531,1.790435794067992,0.9792397825007271
plateA,G06,2528,1.7860348580527157,0.9792397825007271
plateA,H06,26947,37.60818704372904,0.9792397825007271
plateA,A07,1411,0.14741968169821917,0.9792397825007271
plateA,B07,2996,2.4725808764357993,0.9792397825007271
plateA,C07,2331,1.4970400597162465,0.9792397825007271
plateA,D07,2457,1.681879372357846,0.9792397825007271
plateA,E07,3255,2.8525283524213094,0.9792397825007271
plateA,F07,21246,29.244941636032543,0.9792397825007271
plateA,G07,1032,0,0.9792397825007271
plateA,H07,1043,0,0.9792397825007271
plateA,A08,1067,0,0.9792397825007271
plateA,B08,2197,1.3004649177005774,0.9792397825007271
plateA,C08,3929,3.8412719771866906,0.9792397825007271
plateA,D08,1991,0.9982673113182801,0.9792397825007271
plateA,E08,3305,2.9258772860092455,0.9792397825007271
plateA,F08,34045,48.020801655872475,0.9792397825007271
plateA,G08,968,0,0.9792397825007271
plateA,H08,8779,10.95611853521651,0.9792397825007271
plateA,A09,1047,0,0.9792397825007271
plateA,B09,1891,0.8515694441424075,0.9792397825007271
plateA,C09,2355,1.532247547838456,0.9792397825007271
plateA,D09,2198,1.3019318963723363,0.9792397825007271
plateA,E09,2359,1.538115462525491,0.9792397825007271
plateA,F09,2306,1.4603655929222785,0.9792397825007271
plateA,G09,942,0,0.9792397825007271
plateA,H09,980,0,0.9792397825007271
plateA,A10,31994,45.01202840009533,0.9792397825007271
plateA,B10,22354,30.87035400434121,0.9792397825007271
plateA,C10,2334,1.501440995731523,0.9792397825007271
plateA,D10,2078,1.125894455761289,0.9792397825007271
plateA,E10,33805,47.66872677465038,0.9792397825007271
plateA,F10,2702,2.041289146938734,0.9792397825007271
plateA,G10,2578,1.8593837916406522,0.9792397825007271
plateA,H10,1077,0,0.9792397825007271
plateA,A11,31460,44.22866178937617,0.9792397825007271
plateA,B11,4228,4.279898600042549,0.9792397825007271
plateA,C11,1780,0.688734811577189,0.9792397825007271
plateA,D11,28119,39.32748604703027,0.9792397825007271
plateA,E11,2008,1.0232059487381784,0.9792397825007271
