plate_name_old,well_old,plate_name_new,well_new,tube_id,batch,volume
PCE033,B06,PRC001,A01,CTS0015,CT,20
PCE033,E06,PRC001,B01,CTS0024,CT,20
PCE033,C08,PRC001,C01,CTS0030,CT,20
PCE033,A02,PRC001,D01,CTS0100,CT,20
PCE033,E05,PRC001,E01,CTS0079,CT,20
PCE034,B03,PRC001,F01,CTS0007,CT,20
PCE033,F01,PRC001,G01,CTS0095,CT,20
PCE034,F04,PRC001,H01,CTS0057,CT,20
PCE033,D06,PRC001,A02,CTS0069,CT,20
PCE033,F10,PRC001,B02,CTS0014,CT,20
PCE033,D07,PRC001,D02,CTS0098,CT,20
PCE033,D02,PRC001,E02,CTS0102,CT,20
PCE033,B07,PRC001,F02,CTS0036,CT,20
PCE034,E04,PRC001,G02,CTS0075,CT,20
PCE033,F07,PRC001,H02,CTS0101,CT,20
PCE033,A07,PRC001,A03,CTS0081,CT,20
PCE033,A04,PRC001,B03,CTS0025,CT,20
PCE034,D04,PRC001,C03,CTS0053,CT,20
PCE033,G07,PRC001,D03,CTS0002,CT,20
PCE033,D01,PRC001,E03,CTS0026,CT,20
PCE033,E04,PRC001,F03,CTS0005,CT,20
PCE033,D10,PRC001,G03,CTS0091,CT,20
PCE034,C05,PRC001,H03,CTS0037,CT,20
PCE033,A08,PRC001,A04,CTS0065,CT,20
PCE033,G04,PRC001,B04,CTS0089,CT,20
PCE033,H06,PRC001,C04,CTS0012,CT,20
PCE033,G10,PRC001,E04,CTS0084,CT,20
PCE033,C05,PRC001,F04,CTS0062,CT,20
PCE033,F03,PRC001,G04,CTS0085,CT,20
PCE033,F05,PRC001,H04,CTS0093,CT,20
PCE033,A06,PRC001,A05,CTS0017,CT,20
PCE034,G02,PRC001,B05,CTS0059,CT,20
PCE033,D04,PRC001,C05,CTS0099,CT,20
PCE033,G06,PRC001,D05,CTS0044,CT,20
PCE034,E03,PRC001,E05,CTS0011,CT,20
PCE034,A05,PRC001,F05,CTS0046,CT,20
PCE033,E07,PRC001,G05,CTS0066,CT,20
PCE034,A04,PRC001,H05,CTS0064,CT,20
PCE033,F02,PRC001,A06,CTS0042,CT,20
PCE034,C01,PRC001,B06,CTS0050,CT,20
PCE033,A10,PRC001,C06,CTS0083,CT,20
PCE034,A03,PRC001,D06,CTS0049,CT,20
PCE034,F01,PRC001,E06,CTS0047,CT,20
PCE034,D01,PRC001,F06,CTS0058,CT,20
PCE033,C09,PRC001,G06,CTS0004,CT,20
PCE033,E10,PRC001,H06,CTS0016,CT,20
PCE033,C06,PRC001,A07,CTS0001,CT,20
PCE033,C07,PRC001,B07,CTS0054,CT,20
PCE033,F08,PRC001,C07,CTS0080,CT,20
PCE033,H07,PRC001,D07,CTS0074,CT,20
PCE033,B04,PRC001,E07,CTS0097,CT,20
PCE034,E01,PRC001,F07,CTS0055,CT,20
PCE034,B05,PRC001,G07,CTS0034,CT,20
PCE034,D03,PRC001,H07,CTS0033,CT,20
PCE034,G04,PRC001,B08,CTS0052,CT,20
PCE033,D05,PRC001,C08,CTS0006,CT,20
PCE034,B02,PRC001,E08,CTS0063,CT,20
PCE033,E08,PRC001,F08,CTS0096,CT,20
PCE034,F03,PRC001,G08,CTS0082,CT,20
PCE033,B09,PRC001,H08,CTS0061,CT,20
PCE033,E03,PRC001,A09,CTS0092,CT,20
PCE034,G03,PRC001,B09,CTS0039,CT,20
PCE033,C10,PRC001,C09,CTS0013,CT,20
PCE033,G08,PRC001,D09,CTS0010,CT,20
PCE033,B10,PRC001,E09,CTS0031,CT,20
PCE033,G09,PRC001,F09,CTX0188,CT,20
PCE034,B01,PRC001,G09,CTS0090,CT,20
PCE033,C02,PRC001,H09,CTS0028,CT,20
PCE033,B08,PRC001,A10,CTS0040,CT,20
PCE033,C04,PRC001,B10,CTS0043,CT,20
PCE034,D05,PRC001,C10,CTS0023,CT,20
PCE034,D02,PRC001,D10,CTS0041,CT,20
PCE033,H10,PRC001,E10,CTS0022,CT,20
PCE048,A04,PRF001,A01,CFX0016,FRCompanionSoil,20
PCE033,H02,PRF001,B01,CFS0079,FRCompanionSoil,20
PCE048,C04,PRF001,C01,CFS0051,FRCompanionSoil,20
PCE026,E04,PRF001,D01,CFX0001,FRCompanionSoil,20
PCE026,H05,PRF001,E01,LIPME36636,FRCompanionSoil,20
PCE026,B02,PRF001,F01,LIPME36627,FRCompanionSoil,20
PCE048,F11,PRF001,G01,CFS0050,FRCompanionSoil,20
PCE026,H01,PRF001,H01,LIPME36620,FRCompanionSoil,20
PCE026,A04,PRF001,A02,CFX0007,FRCompanionSoil,20
PCE033,H05,PRF001,B02,CFS0018,FRCompanionSoil,20
PCE033,B01,PRF001,C02,AUZE-ASOIL3,FRCompanionSoil,20
PCE033,G03,PRF001,D02,CFS0067,FRCompanionSoil,20
PCE026,E07,PRF001,E02,LIPME36615,FRCompanionSoil,20
PCE034,H03,PRF001,F02,LIPME37184,FRCompanionSoil,20
PCE048,G07,PRF001,G02,CFX0035,FRCompanionSoil,20
PCE034,C02,PRF001,H02,LIPME37105,FRCompanionSoil,20
PCE034,E02,PRF001,A03,CFS0026,FRCompanionSoil,20
PCE033,C03,PRF001,B03,CFS0077,FRCompanionSoil,20
PCE033,B03,PRF001,C03,CFS0044,FRCompanionSoil,20
PCE033,D08,PRF001,D03,CFS0017,FRCompanionSoil,20
PCE026,E01,PRF001,E03,LIPME36611,FRCompanionSoil,20
PCE033,F06,PRF001,F03,CFS0037,FRCompanionSoil,20
PCE026,D02,PRF001,G03,CFX0005,FRCompanionSoil,20
PCE026,C07,PRF001,H03,CFX0008,FRCompanionSoil,20
PCE026,H08,PRF001,A04,LIPME36643,FRCompanionSoil,20
PCE033,A09,PRF001,B04,AUZE-ASOIL2,FRCompanionSoil,20
PCE033,H08,PRF001,C04,LIPME37177,FRCompanionSoil,20
PCE049,G09,PRF001,D04,CFS0071,FRCompanionSoil,20
PCE033,A05,PRF001,E04,LIPME37129,FRCompanionSoil,20
PCE026,G08,PRF001,F04,LIPME36641,FRCompanionSoil,20
PCE048,D01,PRF001,G04,CFX0036,FRCompanionSoil,20
PCE026,A06,PRF001,H04,LIPME36602,FRCompanionSoil,20
PCE026,E10,PRF001,A05,LIPME36639,FRCompanionSoil,20
PCE026,D06,PRF001,B05,CFX0024,FRCompanionSoil,20
PCE048,H03,PRF001,C05,CFX0015,FRCompanionSoil,20
PCE026,F07,PRF001,D05,LIPME36625,FRCompanionSoil,20
PCE033,F04,PRF001,E05,CFS0078,FRCompanionSoil,20
PCE026,B01,PRF001,F05,CFX0006,FRCompanionSoil,20
PCE033,A01,PRF001,G05,LIPME37097,FRCompanionSoil,20
PCE033,H01,PRF001,H05,CFS0065,FRCompanionSoil,20
PCE034,H02,PRF001,A06,CFS0004,FRCompanionSoil,20
PCE026,C06,PRF001,B06,LIPME36630,FRCompanionSoil,20
PCE048,E08,PRF001,C06,CFS0031,FRCompanionSoil,20
PCE026,D04,PRF001,D06,LIPME36635,FRCompanionSoil,20
PCE048,C10,PRF001,E06,CFS0070,FRCompanionSoil,20
PCE026,C05,PRF001,F06,CFX0027,FRCompanionSoil,20
PCE026,D07,PRF001,H06,CFX0012,FRCompanionSoil,20
PCE026,D09,PRF001,A07,LIPME36647,FRCompanionSoil,20
PCE026,A03,PRF001,B07,LIPME36640,FRCompanionSoil,20
PCE049,D08,PRF001,C07,CFS0049,FRCompanionSoil,20
PCE033,A03,PRF001,D07,CFS0068,FRCompanionSoil,20
PCE034,H01,PRF001,F07,CFS0028,FRCompanionSoil,20
PCE026,A05,PRF001,G07,LIPME36624,FRCompanionSoil,20
PCE034,G01,PRF001,H07,CFS0040,FRCompanionSoil,20
PCE026,E06,PRF001,A08,LIPME36637,FRCompanionSoil,20
PCE033,C01,PRF001,B08,CFS0003,FRCompanionSoil,20
PCE026,B11,PRF001,C08,LIPME36599,FRCompanionSoil,20
PCE026,C03,PRF001,D08,CFX0033,FRCompanionSoil,20
PCE026,A10,PRF001,E08,LIPME36598,FRCompanionSoil,20
PCE033,G02,PRF001,F08,CFS0012,FRCompanionSoil,20
PCE026,C01,PRF001,G08,CFX0031,FRCompanionSoil,20
PCE026,E02,PRF001,H08,CFX0023,FRCompanionSoil,20
PCE048,G04,PRF001,A09,CFX0025,FRCompanionSoil,20
PCE026,F01,PRF001,B09,CFX0037,FRCompanionSoil,20
PCE026,B10,PRF001,C09,LIPME36629,FRCompanionSoil,20
PCE026,G01,PRF001,E09,CFX0011,FRCompanionSoil,20
PCE034,B04,PRF001,F09,LIPME37152,FRCompanionSoil,20
PCE026,D10,PRF001,G09,LIPME36614,FRCompanionSoil,20
PCE026,B09,PRF001,H09,LIPME36603,FRCompanionSoil,20
PCE033,B05,PRF001,A10,LIPME37098,FRCompanionSoil,20
PCE026,G05,PRF001,B10,LIPME36621,FRCompanionSoil,20
PCE033,D03,PRF001,C10,CFS0019,FRCompanionSoil,20
PCE034,C03,PRF001,D10,AUZE-ASOIL1,FRCompanionSoil,20
PCE026,G03,PRF001,E10,CFX0034,FRCompanionSoil,20
PCE026,D05,PRF001,F10,CFX0028,FRCompanionSoil,20
PCE026,B06,PRF001,G10,LIPME36628,FRCompanionSoil,20
PCE048,B03,PRF001,H10,CFS0030,FRCompanionSoil,20
PCE026,A02,PRF001,A11,CFX0038,FRCompanionSoil,20
PCE049,H12,PRF001,B11,CFS0069,FRCompanionSoil,20
PCE026,H03,PRF001,C11,CFX0017,FRCompanionSoil,20
PCE026,D03,PRF001,D11,CFX0018,FRCompanionSoil,20
PCE026,B03,PRF001,E11,AUZE-ACompanionsQ2,FRCompanionSoil,20
PCE034,C04,PRF001,F11,LIPME37108,FRCompanionSoil,20
PCE026,E09,PRF001,G11,CFX0002,FRCompanionSoil,20
PCE048,H09,PRF001,H11,CFS0032,FRCompanionSoil,20
PCE034,F02,PRF001,B12,LIPME37106,FRCompanionSoil,20
PCE026,E05,PRF001,C12,AUZE-ACompanionsQ1,FRCompanionSoil,20
PCE033,H04,PRF001,D12,CFS0066,FRCompanionSoil,20
PCE033,G01,PRF001,E12,CFS0043,FRCompanionSoil,20
PCE026,A09,PRF001,F12,LIPME36604,FRCompanionSoil,20
PCE033,E02,PRF001,G12,CFS0016,FRCompanionSoil,20
PCE026,B05,PRF001,H12,CFX0013,FRCompanionSoil,20
PCE026,B07,PRF002,B01,LIPME36642,FRCompanionSoil,20
PCE026,H06,PRF002,C01,LIPME36605,FRCompanionSoil,20
PCE048,D04,PRF002,D01,CFS0072,FRCompanionSoil,20
PCE048,B08,PRF002,E01,CFS0052,FRCompanionSoil,20
PCE026,G06,PRF002,F01,CFX0014,FRCompanionSoil,20
