plate_name_old,well_old,plate_name_new,well_new,tube_id,randomisation,batch
PCE026,C02,PRF001,A01,AMBRCompanionsB,FR CompanionSoil,CompanionSoil
PCE026,E09,PRF001,B01,CFX0002,FR CompanionSoil,CompanionSoil
PCE033,H03,PRF001,C01,LIPME37130,FR CompanionSoil,CompanionSoil
PCE048,H09,PRF001,D01,CFS0032,FR CompanionSoil,CompanionSoil
PCE026,B11,PRF001,E01,LIPME36599,FR CompanionSoil,CompanionSoil
PCE026,E02,PRF001,F01,CFX0023,FR CompanionSoil,CompanionSoil
PCE049,D08,PRF001,G01,CFS0049,FR CompanionSoil,CompanionSoil
PCE026,G05,PRF001,H01,LIPME36621,FR CompanionSoil,CompanionSoil
PCE026,C03,PRF001,A02,CFX0033,FR CompanionSoil,CompanionSoil
PCE026,B02,PRF001,B02,LIPME36627,FR CompanionSoil,CompanionSoil
PCE034,F02,PRF001,C02,LIPME37106,FR CompanionSoil,CompanionSoil
PCE048,D04,PRF001,D02,CFS0072,FR CompanionSoil,CompanionSoil
PCE033,F06,PRF001,E02,CFS0037,FR CompanionSoil,CompanionSoil
PCE048,D01,PRF001,F02,CFX0036,FR CompanionSoil,CompanionSoil
PCE034,A01,PRF001,G02,CFS0002,FR CompanionSoil,CompanionSoil
PCE034,E02,PRF001,H02,CFS0026,FR CompanionSoil,CompanionSoil
PCE026,G01,PRF001,A03,CFX0011,FR CompanionSoil,CompanionSoil
PCE026,H02,PRF001,B03,LIPME36634,FR CompanionSoil,CompanionSoil
PCE048,G04,PRF001,C03,CFX0025,FR CompanionSoil,CompanionSoil
PCE033,B02,PRF001,D03,LIPME37131,FR CompanionSoil,CompanionSoil
PCE033,A09,PRF001,E03,AUZE-ASOIL2,FR CompanionSoil,CompanionSoil
PCE048,E08,PRF001,F03,CFS0031,FR CompanionSoil,CompanionSoil
PCE034,C02,PRF001,G03,LIPME37105,FR CompanionSoil,CompanionSoil
PCE033,A05,PRF001,H03,LIPME37129,FR CompanionSoil,CompanionSoil
PCE026,H05,PRF001,A04,LIPME36636,FR CompanionSoil,CompanionSoil
PCE026,C05,PRF001,B04,CFX0027,FR CompanionSoil,CompanionSoil
PCE026,G03,PRF001,C04,CFX0034,FR CompanionSoil,CompanionSoil
PCE034,G01,PRF001,D04,CFS0040,FR CompanionSoil,CompanionSoil
PCE026,E10,PRF001,E04,LIPME36639,FR CompanionSoil,CompanionSoil
PCE033,G05,PRF001,F04,LIPME37164,FR CompanionSoil,CompanionSoil
PCE033,H05,PRF001,G04,CFS0018,FR CompanionSoil,CompanionSoil
PCE033,G02,PRF001,H04,CFS0012,FR CompanionSoil,CompanionSoil
PCE049,G09,PRF001,A05,CFS0071,FR CompanionSoil,CompanionSoil
PCE026,D10,PRF001,B05,LIPME36614,FR CompanionSoil,CompanionSoil
PCE033,E01,PRF001,C05,CFS0001,FR CompanionSoil,CompanionSoil
PCE048,F11,PRF001,D05,CFS0050,FR CompanionSoil,CompanionSoil
PCE026,C06,PRF001,E05,LIPME36630,FR CompanionSoil,CompanionSoil
PCE034,H04,PRF001,F05,CFS0046,FR CompanionSoil,CompanionSoil
PCE033,H08,PRF001,G05,LIPME37177,FR CompanionSoil,CompanionSoil
PCE033,H01,PRF001,H05,CFS0065,FR CompanionSoil,CompanionSoil
PCE048,B05,PRF001,A06,CFS0029,FR CompanionSoil,CompanionSoil
PCE026,H06,PRF001,B06,LIPME36605,FR CompanionSoil,CompanionSoil
PCE026,E07,PRF001,C06,LIPME36615,FR CompanionSoil,CompanionSoil
PCE034,H03,PRF001,D06,LIPME37184,FR CompanionSoil,CompanionSoil
PCE026,G08,PRF001,E06,LIPME36641,FR CompanionSoil,CompanionSoil
PCE034,H01,PRF001,F06,CFS0028,FR CompanionSoil,CompanionSoil
PCE033,G03,PRF001,G06,CFS0067,FR CompanionSoil,CompanionSoil
PCE026,B10,PRF001,H06,LIPME36629,FR CompanionSoil,CompanionSoil
PCE048,A04,PRF001,A07,CFX0016,FR CompanionSoil,CompanionSoil
PCE026,D07,PRF001,B07,CFX0012,FR CompanionSoil,CompanionSoil
PCE048,C10,PRF001,C07,CFS0070,FR CompanionSoil,CompanionSoil
PCE026,E01,PRF001,D07,LIPME36611,FR CompanionSoil,CompanionSoil
PCE033,C01,PRF001,E07,CFS0003,FR CompanionSoil,CompanionSoil
PCE026,G06,PRF001,F07,CFX0014,FR CompanionSoil,CompanionSoil
PCE026,A02,PRF001,G07,CFX0038,FR CompanionSoil,CompanionSoil
PCE026,A06,PRF001,H07,LIPME36602,FR CompanionSoil,CompanionSoil
PCE026,B03,PRF001,B08,AUZE-ACompanionsQ2,FR CompanionSoil,CompanionSoil
PCE026,C01,PRF001,C08,CFX0031,FR CompanionSoil,CompanionSoil
PCE026,D06,PRF001,D08,CFX0024,FR CompanionSoil,CompanionSoil
PCE026,D02,PRF001,E08,CFX0005,FR CompanionSoil,CompanionSoil
PCE048,C04,PRF001,F08,CFS0051,FR CompanionSoil,CompanionSoil
PCE034,A02,PRF001,G08,CFS0025,FR CompanionSoil,CompanionSoil
PCE048,G07,PRF001,H08,CFX0035,FR CompanionSoil,CompanionSoil
PCE026,A10,PRF001,A09,LIPME36598,FR CompanionSoil,CompanionSoil
PCE034,C03,PRF001,B09,AUZE-ASOIL1,FR CompanionSoil,CompanionSoil
PCE033,D03,PRF001,C09,CFS0019,FR CompanionSoil,CompanionSoil
PCE026,F07,PRF001,D09,LIPME36625,FR CompanionSoil,CompanionSoil
PCE026,H08,PRF001,E09,LIPME36643,FR CompanionSoil,CompanionSoil
PCE026,G09,PRF001,F09,CFX0010,FR CompanionSoil,CompanionSoil
PCE033,D08,PRF001,G09,CFS0017,FR CompanionSoil,CompanionSoil
PCE026,E04,PRF001,H09,CFX0001,FR CompanionSoil,CompanionSoil
PCE033,C03,PRF001,A10,CFS0077,FR CompanionSoil,CompanionSoil
PCE026,H11,PRF001,B10,LIPME36638,FR CompanionSoil,CompanionSoil
