plate	well	status	stock_conc	diluent_vol	final_vol	final_conc
PCE022	A1	OK	81.61	153.2	163.22	5.0
PCE022	B1	transfer too small	5.63	0	10.0	5.63
PCE022	C1	OK	55.41	100.8	110.81	5.0
PCE022	D1	OK	78.74	147.5	157.48	5.0
PCE022	E1	OK	82.9	155.8	165.8	5.0
PCE022	F1	transfer too small	5.15	0	10.0	5.15
PCE022	G1	OK	83.42	156.8	166.84	5.0
PCE022	H1	OK	67.49	125.0	134.98	5.0
PCE022	A2	OK	85.75	161.5	171.5	5.0
PCE022	B2	OK	12.04	14.1	24.09	5.0
PCE022	C2	transfer too small	5.59	0	10.0	5.59
PCE022	D2	OK	93.26	176.5	186.52	5.0
PCE022	E2	OK	81.51	153.0	163.01	5.0
PCE022	F2	OK	75.54	141.1	151.08	5.0
PCE022	G2	OK	35.54	61.1	71.08	5.0
PCE022	H2	OK	11.59	13.2	23.18	5.0
PCE022	A3	OK	67.47	124.9	134.93	5.0
PCE022	B3	OK	81.02	152.0	162.04	5.0
PCE022	C3	OK	83.83	157.7	167.66	5.0
PCE022	D3	OK	84.4	158.8	168.8	5.0
PCE022	E3	OK	84.23	158.5	168.46	5.0
PCE022	F3	OK	31.07	52.1	62.13	5.0
PCE022	G3	OK	83.0	156.0	166.0	5.0
PCE022	H3	OK	65.79	121.6	131.58	5.0
PCE022	A4	OK	54.44	98.9	108.87	5.0
PCE022	B4	OK	74.25	138.5	148.49	5.0
PCE022	C4	OK	38.27	66.5	76.53	5.0
PCE022	D4	OK	67.87	125.7	135.75	5.0
PCE022	E4	OK	78.2	146.4	156.41	5.0
PCE022	F4	OK	27.8	45.6	55.61	5.0
PCE022	G4	OK	73.5	137.0	147.01	5.0
PCE022	H4	OK	80.68	151.4	161.36	5.0
PCE022	A5	OK	56.91	103.8	113.82	5.0
PCE022	B5	OK	66.81	123.6	133.62	5.0
PCE022	C5	OK	52.71	95.4	105.41	5.0
PCE022	D5	OK	73.97	137.9	147.93	5.0
PCE022	E5	OK	70.87	131.7	141.75	5.0
PCE022	F5	OK	70.83	131.7	141.65	5.0
PCE022	G5	transfer too small	6.01	0	10.0	6.01
PCE022	H5	OK	72.09	134.2	144.18	5.0
PCE022	A6	OK	46.43	82.9	92.86	5.0
PCE022	B6	OK	80.64	151.3	161.29	5.0
PCE022	C6	OK	82.27	154.5	164.54	5.0
PCE022	D6	OK	78.53	147.1	157.06	5.0
PCE022	E6	transfer too small	7.25	0	10.0	7.25
PCE022	F6	OK	77.2	144.4	154.39	5.0
PCE022	G6	OK	78.09	146.2	156.18	5.0
PCE022	H6	transfer too small	5.94	0	10.0	5.94
PCE022	A7	OK	72.55	135.1	145.09	5.0
PCE022	B7	OK	48.63	87.3	97.26	5.0
PCE022	C7	OK	90.03	170.1	180.05	5.0
PCE022	D7	OK	73.51	137.0	147.02	5.0
PCE022	E7	OK	86.49	163.0	172.99	5.0
PCE022	F7	OK	39.08	68.2	78.17	5.0
PCE022	G7	OK	75.81	141.6	151.61	5.0
PCE022	H7	OK	20.57	31.1	41.13	5.0
PCE022	A8	OK	79.32	148.6	158.63	5.0
PCE022	B8	OK	65.04	120.1	130.07	5.0
PCE022	C8	OK	36.87	63.7	73.73	5.0
PCE022	D8	OK	73.96	137.9	147.93	5.0
PCE022	E8	OK	65.3	120.6	130.6	5.0
PCE022	F8	OK	87.98	166.0	175.96	5.0
PCE022	G8	OK	76.12	142.2	152.25	5.0
PCE022	H8	OK	70.42	130.8	140.85	5.0
PCE022	A9	OK	56.4	102.8	112.81	5.0
PCE022	B9	OK	71.75	133.5	143.51	5.0
PCE022	C9	OK	85.33	160.7	170.65	5.0
PCE022	D9	OK	68.66	127.3	137.31	5.0
PCE022	E9	OK	77.77	145.5	155.54	5.0
PCE022	F9	OK	66.3	122.6	132.6	5.0
PCE022	G9	OK	20.77	31.5	41.55	5.0
PCE022	H9	OK	69.15	128.3	138.3	5.0
PCE022	A10	OK	76.42	142.8	152.83	5.0
PCE022	B10	OK	22.92	35.8	45.85	5.0
PCE022	C10	OK	79.62	149.2	159.24	5.0
PCE022	D10	OK	60.54	111.1	121.08	5.0
PCE022	E10	OK	37.94	65.9	75.89	5.0
PCE022	F10	OK	39.15	68.3	78.3	5.0
PCE022	G10	OK	73.17	136.3	146.35	5.0
PCE022	H10	OK	59.65	109.3	119.31	5.0
PCE022	A11	OK	68.58	127.2	137.16	5.0
PCE022	B11	OK	64.51	119.0	129.01	5.0
PCE022	C11	OK	85.1	160.2	170.21	5.0
PCE022	D11	OK	87.54	165.1	175.08	5.0
PCE022	E11	OK	80.62	151.2	161.25	5.0
PCE022	F11	OK	85.61	161.2	171.21	5.0
PCE022	G11	OK	61.35	112.7	122.7	5.0
PCE022	H11	OK	23.42	36.8	46.85	5.0
PCE022	A12	OK	82.26	154.5	164.53	5.0
PCE022	B12	OK	87.87	165.7	175.74	5.0
PCE022	C12	OK	89.59	169.2	179.17	5.0
PCE022	D12	OK	89.71	169.4	179.43	5.0
PCE022	E12	OK	87.57	165.1	175.15	5.0
PCE022	F12	OK	77.5	145.0	155.01	5.0
PCE022	G12	OK	43.7	77.4	87.4	5.0
