plate	well	status	stock_conc	diluent_vol	final_vol	final_conc
VaccIsolP1	A1	OK	84.64	74.6	84.64	10.0
VaccIsolP1	B1	conc below target	5.82	0	10.0	5.82
VaccIsolP1	C1	OK	73.4	63.4	73.4	10.0
VaccIsolP1	D1	OK	121.26	111.3	121.26	10.0
VaccIsolP1	E1	OK	66.24	56.2	66.24	10.0
VaccIsolP1	F1	OK	38.51	28.5	38.51	10.0
VaccIsolP1	G1	OK	64.25	54.2	64.25	10.0
VaccIsolP1	H1	OK	108.71	98.7	108.71	10.0
VaccIsolP1	A2	OK	54.69	44.7	54.69	10.0
VaccIsolP1	B2	OK	65.66	55.7	65.66	10.0
VaccIsolP1	C2	OK	123.65	113.6	123.65	10.0
VaccIsolP1	D2	OK	89.3	79.3	89.3	10.0
VaccIsolP1	E2	OK	87.61	77.6	87.61	10.0
VaccIsolP1	F2	OK	62.12	52.1	62.12	10.0
VaccIsolP1	G2	OK	86.76	76.8	86.76	10.0
VaccIsolP1	H2	OK	109.44	99.4	109.44	10.0
VaccIsolP1	A3	OK	39.35	29.4	39.35	10.0
VaccIsolP1	B3	OK	21.68	11.7	21.68	10.0
VaccIsolP1	C3	transfer too small	12.02	0	10.0	12.02
VaccIsolP1	D3	conc below target	7.85	0	10.0	7.85
VaccIsolP1	E3	OK	65.14	55.1	65.14	10.0
VaccIsolP1	F3	OK	91.4	81.4	91.4	10.0
VaccIsolP1	G3	OK	45.38	35.4	45.38	10.0
VaccIsolP1	H3	OK	45.65	35.6	45.65	10.0
VaccIsolP1	A4	OK	88.28	78.3	88.28	10.0
VaccIsolP1	B4	OK	64.5	54.5	64.5	10.0
VaccIsolP1	C4	OK	58.87	48.9	58.87	10.0
VaccIsolP1	D4	OK	105.23	95.2	105.23	10.0
VaccIsolP1	E4	OK	38.84	28.8	38.84	10.0
VaccIsolP1	F4	OK	111.42	101.4	111.42	10.0
VaccIsolP1	G4	OK	89.0	79.0	89.0	10.0
